,5,17,16,7,10,4,11,15,13,9,12,19,2,6,14,8,0,18,3,1
46,29037,262691,14907,59617,11260,NaN,199853,140726,2486,27733,267685,NaN,1111,1205,15598,197301,14453,203817,12996,NaN
47,12941,12350,35277,33920,59622,NaN,57269,38505,39534,63927,17962,NaN,7545,6720,24603,44134,35518,51728,35179,NaN
48,12759,58280,1140,47474,24951,NaN,29119,4809,199422,18399,37074,NaN,4764,29056,9211,15704,49642,203602,206957,NaN
49,57353,15623,60149,786,43284,NaN,201557,45758,204708,30844,9129,NaN,4608,201240,30823,60846,63473,51164,12824,NaN
50,25415,203969,24725,206509,6893,NaN,30889,56017,57734,52314,263157,NaN,10143,31543,196616,44045,51776,59397,13000,NaN
51,201396,24889,34605,5378,199811,NaN,24904,3816,209523,327707,264676,NaN,138466,12991,12579,201806,39910,34958,15969,NaN
52,201035,28859,29632,31493,39616,NaN,41690,136119,20965,11815,263703,NaN,56837,38880,21263,21221,12307,30836,13065,NaN
53,35710,8821,50392,43081,21232,NaN,35426,200334,52039,56099,28109,NaN,2716,208725,12312,43437,208422,45184,199846,NaN
54,207439,198725,41009,5607,6772,NaN,208261,136393,513,18419,327741,NaN,22548,43205,20694,15535,33883,9147,40975,NaN
55,196714,47834,NaN,34119,56456,NaN,39605,37492,5377,52285,14522,NaN,577,35489,15743,49420,197019,25184,50449,NaN
56,59775,58220,NaN,25441,208329,NaN,6799,56894,50287,14434,52361,NaN,855,20911,198672,35378,47727,60786,51892,NaN
57,16205,61169,NaN,3269,44424,NaN,29247,8038,201126,37084,45725,NaN,21659,26615,12931,39375,29252,49367,44943,NaN
58,29018,57707,NaN,12637,202605,NaN,47116,36959,201971,27725,14813,NaN,395075,13319,8763,200862,199284,205891,16300,NaN
59,29008,30962,NaN,5396,15685,NaN,56911,60707,8676,28118,27660,NaN,19397,7992,12816,60810,197252,41153,15870,NaN
60,12808,47295,NaN,59715,52029,NaN,197207,135629,45014,131627,264640,NaN,50348,46609,8319,50667,51167,47836,197204,NaN
61,8648,209335,NaN,20912,206287,NaN,59441,14708,199188,63848,37336,NaN,24806,6407,31078,62429,36352,8283,15754,NaN
62,48585,20783,NaN,210218,209040,NaN,199181,37963,196745,262178,27792,NaN,25538,15796,9067,8334,205790,52000,49828,NaN
63,198225,200519,NaN,50877,8859,NaN,15435,9905,5408,4616,27828,NaN,57929,57370,51483,57227,16360,58291,43478,NaN
64,29100,9135,NaN,1136,43847,NaN,50266,52468,42953,27839,265662,NaN,15954,199562,44869,12695,25486,202562,31036,NaN
65,200030,34081,NaN,25596,209620,NaN,29396,47887,2128,9340,25273,NaN,51458,39544,39642,42148,24956,8542,12772,NaN
66,34285,60664,NaN,34612,208854,NaN,45009,56566,48147,30983,64314,NaN,50446,212865,35158,48166,56876,34393,201588,NaN
67,196655,16218,NaN,50343,8208,NaN,205617,135478,16004,132796,262239,NaN,44141,28875,60876,8641,208927,50247,31138,NaN
68,24751,16188,NaN,29695,8351,NaN,42707,134877,60798,45355,37123,NaN,1307,34781,1835,44507,47297,202228,62040,NaN
69,16331,35227,NaN,12353,204053,NaN,8587,9304,1103,131743,8346,NaN,20926,8298,204652,44096,58340,50467,64429,NaN
70,41652,51057,NaN,209,202716,NaN,39647,197765,198260,4528,52322,NaN,57119,15547,39857,48481,207151,205934,42393,NaN
71,205344,51417,NaN,2914,25038,NaN,62105,27845,60781,131995,28885,NaN,198985,57777,1759,35640,200906,206006,8470,NaN
72,43619,34154,NaN,5650,202539,NaN,28788,12847,39029,36909,395400,NaN,15826,59414,5413,43097,34659,198717,8515,NaN
73,60350,21173,NaN,328453,29317,NaN,34087,131447,57963,17501,27879,NaN,47787,8271,3329,49779,44000,42717,39028,NaN
74,207300,15540,NaN,327813,41955,NaN,208627,8075,8308,37054,3596,NaN,6871,41562,21334,8369,207992,203937,28891,NaN
75,12727,15368,NaN,NaN,48918,NaN,207788,25145,197357,37406,29399,NaN,60036,48971,41075,60072,202695,48956,51604,NaN
76,8487,15894,NaN,NaN,16095,NaN,12990,29614,60396,137818,263824,NaN,31655,25353,29278,199860,60672,49601,42065,NaN
77,208069,24764,NaN,NaN,206268,NaN,20853,139994,38001,327875,24164,NaN,207841,198167,15605,57631,8916,51426,51309,NaN
78,202454,208974,NaN,NaN,204234,NaN,15744,22884,37474,59238,27928,NaN,197529,6881,13127,47438,208098,206314,197078,NaN
79,206067,15594,NaN,NaN,205697,NaN,204880,18734,NaN,37126,34643,NaN,12703,48154,39686,5547,8330,198709,48642,NaN
80,25135,702,NaN,NaN,29680,NaN,15798,28556,NaN,15344,134116,NaN,56910,1270,203623,31257,31472,8865,48149,NaN
81,43408,15725,NaN,NaN,48846,NaN,57571,18809,NaN,24560,16629,NaN,25472,12306,6829,24680,39767,41931,49675,NaN
82,197669,24909,NaN,NaN,198024,NaN,12555,58313,NaN,2527,25581,NaN,56457,25394,20555,61111,61049,198611,29226,NaN
83,207960,41585,NaN,NaN,20798,NaN,41722,45102,NaN,1113,20255,NaN,199399,60955,12741,15930,39602,16110,44034,NaN
84,44332,203478,NaN,NaN,57943,NaN,60879,22122,NaN,1109,33788,NaN,12361,48328,43939,41668,60610,39673,198612,NaN
85,44574,206157,NaN,NaN,35661,NaN,21127,47251,NaN,201686,17072,NaN,2110,15451,8726,15673,132453,30793,31642,NaN
86,20510,50926,NaN,NaN,202898,NaN,42676,133736,NaN,1221,327900,NaN,49567,197975,34688,49342,18209,200142,57033,NaN
87,12301,8311,NaN,NaN,64444,NaN,42387,134090,NaN,17819,14638,NaN,47408,201011,51792,39087,137120,205679,21379,NaN
88,41303,57910,NaN,NaN,13273,NaN,25478,133159,NaN,58473,45766,NaN,205493,199289,30851,51669,131210,31554,43320,NaN
89,134326,198936,NaN,NaN,200836,NaN,34123,138562,NaN,135887,26610,NaN,17676,43557,9050,56534,17747,31017,197738,NaN
90,56402,41653,NaN,NaN,39567,NaN,21453,136988,NaN,7594,139759,NaN,55391,30892,12302,49724,205588,44024,35804,NaN
91,16322,16363,NaN,NaN,203596,NaN,49813,17117,NaN,4804,2549,NaN,59105,42612,48161,43826,201227,35348,212003,NaN
92,208877,50858,NaN,NaN,44297,NaN,201211,136994,NaN,7575,50226,NaN,63834,48386,12668,31370,48289,44158,196638,NaN
93,198471,8399,NaN,NaN,198507,NaN,15774,50156,NaN,38796,679,NaN,2497,39020,44257,13189,47330,51570,NaN,NaN
94,44512,198864,NaN,NaN,199758,NaN,207423,211398,NaN,17551,2488,NaN,17934,200434,23242,42303,202391,206012,NaN,NaN
95,200761,25061,NaN,NaN,201072,NaN,8416,48440,NaN,133612,38220,NaN,5524,49638,33980,42622,57558,44923,NaN,NaN
96,59829,13005,NaN,NaN,53550,NaN,28917,203380,NaN,53046,132245,NaN,15879,35699,3301,6703,209137,35539,NaN,NaN
97,8265,62227,NaN,NaN,50300,NaN,44622,56630,NaN,1916,45797,NaN,20741,15630,33885,NaN,12850,51032,NaN,NaN
98,47242,15510,NaN,NaN,35456,NaN,25515,26592,NaN,28573,58698,NaN,9790,205645,35100,NaN,201220,58351,NaN,NaN
99,199837,34790,NaN,NaN,12390,NaN,57971,16735,NaN,271354,4851,NaN,9500,1741,29067,NaN,209987,57456,NaN,NaN
100,25542,198781,NaN,NaN,49375,NaN,33991,53055,NaN,262792,134111,NaN,138398,41090,25229,NaN,200583,45005,NaN,NaN
101,47869,62267,NaN,NaN,48804,NaN,25381,263649,NaN,10881,63920,NaN,61138,51806,48438,NaN,197650,24837,NaN,NaN
102,207803,47227,NaN,NaN,34660,NaN,31323,63199,NaN,32881,45838,NaN,62416,51207,197318,NaN,210025,5468,NaN,NaN
103,203474,35008,NaN,NaN,25310,NaN,197467,54412,NaN,5645,53166,NaN,199993,203476,34814,NaN,35332,24739,NaN,NaN
104,44381,41489,NaN,NaN,205479,NaN,35000,23523,NaN,19171,18881,NaN,39384,197422,35714,NaN,199937,58086,NaN,NaN
105,13110,199516,NaN,NaN,51918,NaN,13178,31798,NaN,395152,53006,NaN,47420,58308,47513,NaN,60404,8492,NaN,NaN
106,8501,44684,NaN,NaN,200736,NaN,41341,397168,NaN,212934,11097,NaN,44544,29605,35731,NaN,59554,49403,NaN,NaN
