95,44506,1205,29314,35361,48804,41690,135478,45355,1307,15589
96,207642,42557,51792,29134,25310,35426,134877,265662,20926,201367
97,41652,1113,8708,28905,205479,58308,57935,131995,29152,21309
98,205344,6720,41275,2852,207995,50903,9304,64314,208585,50316
99,60350,39555,35807,47232,197580,13285,134521,27747,57119,201806
100,12727,42685,50448,25512,47169,35266,197765,37123,212972,21221
101,8487,31543,50668,196687,31122,36692,131447,17501,62000,201290
102,208069,12991,57843,52130,39308,12576,8075,52431,15826,43437
103,200906,59789,12714,48926,9147,8468,25145,207036,47787,34373
104,210329,29287,50473,57069,206065,57356,29614,395400,41000,15535
105,203315,35369,41733,39790,44285,6799,139994,27879,59617,20504
106,206067,7575,39435,48417,42337,29247,18592,3596,6871,16298
107,43408,133612,31200,6659,25184,39122,22884,29399,60036,12996
108,197669,5488,3216,6805,49367,56911,18734,327875,199468,35179
109,205220,50998,29069,198930,202094,44045,28556,37126,201126,49420
110,208098,9208,8359,35003,201474,30722,28512,27928,206062,42673
111,5631,20911,44303,39533,2593,199181,58313,16629,31655,39375
112,44574,20657,57214,62310,34758,57507,22122,327859,207841,201091
113,12301,262691,31514,15598,205891,21034,57169,15344,35559,200862
114,41303,26615,201825,9211,41153,34971,40994,15955,42831,15969
115,204994,40788,34602,30823,47836,8816,206228,8529,12703,13065
116,136360,13319,44941,33988,8283,62275,679,45766,56910,60810
117,134326,6407,8331,198967,34108,15435,13026,26610,25472,50667
118,139195,395611,209456,56357,58291,12414,47251,9916,56457,40975
119,137084,15796,48276,8820,50304,61044,133736,35567,29278,62429
120,45528,57370,56791,15817,38987,205617,134090,139759,25441,8334
121,48289,12350,39153,196616,34393,42707,133159,9829,1213,51892
122,16322,199562,41034,3257,50247,8587,134697,2527,2110,39578
123,47330,39544,29114,52088,202228,39647,139002,50226,2128,42148
124,198471,58280,43132,21263,44914,62105,136988,201686,49567,16300
125,209137,199554,47764,21175,50467,28788,17117,17819,5602,48481
126,44512,34781,206845,41589,35007,199339,136994,58473,205493,15870
127,200761,15547,58067,42699,200031,201822,50156,137576,4685,15754
128,29050,203969,8473,202329,50661,29512,211398,38220,59105,49828
129,59829,24889,3326,197540,57219,35378,48440,7594,63834,8369
130,209368,28859,197318,29670,48446,12990,203380,24516,2497,43478
131,8265,8821,13188,35061,205934,20853,56630,132245,39637,49037
132,47242,48971,39608,198672,206006,28785,26592,10214,15879,201499
133,199837,25353,41710,8763,198717,9085,53055,45797,20741,35239
134,200583,198725,15626,48328,42717,204880,52697,45638,9500,39775
135,197650,197046,29632,12816,56515,31242,8167,58698,4771,12772
136,51044,43413,56639,51871,48956,196890,63199,4851,132003,12543
137,208332,198167,25133,206549,49601,15798,54412,9443,17705,31138
138,25542,204064,41009,28753,206314,21021,23523,38796,38064,24680
139,47869,56427,48683,31078,8501,33823,397168,134111,1930,33819
