,X,Y,ASN,Peer IP,Continent,Colors
197.157.79.173,-5.816378,8.999021,37271,197.157.79.173,Africa,0
198.32.160.103,-5.977196,6.376468,13030,198.32.160.103,Europe,3
198.32.160.107,6.250905,62.169857,29838,198.32.160.107,North America,2
198.32.160.12,-5.884347,6.505404,199524,198.32.160.12,Europe,3
198.32.160.121,0.62392604,61.31103,10310,198.32.160.121,North America,2
198.32.160.124,3.3531594,61.988,46450,198.32.160.124,North America,2
198.32.160.137,1.7322135,18.582483,19151,198.32.160.137,North America,2
198.32.160.15,3.5001562,59.178528,22691,198.32.160.15,North America,2
198.32.160.168,-27.397766,9.456561,51185,198.32.160.168,Europe,3
198.32.160.170,-5.5395,6.5579863,14061,198.32.160.170,North America,2
198.32.160.175,0.62392604,61.31103,15695,198.32.160.175,Europe,3
198.32.160.182,14.128268,14.304773,9002,198.32.160.182,Europe,3
198.32.160.187,-5.0247626,6.4360404,6233,198.32.160.187,North America,2
198.32.160.221,8.823379,15.518713,11164,198.32.160.221,North America,2
198.32.160.224,6.250905,62.169857,714,198.32.160.224,North America,2
198.32.160.242,-3.2859216,12.082593,24482,198.32.160.242,Asia,1
198.32.160.25,13.051168,4.6837187,2516,198.32.160.25,Asia,1
198.32.160.39,-4.1206975,10.681521,9304,198.32.160.39,Asia,1
198.32.160.42,13.371454,8.117923,2497,198.32.160.42,Asia,1
198.32.160.45,0.62392604,61.31103,8966,198.32.160.45,Asia,1
198.32.160.47,6.250905,62.169857,20940,198.32.160.47,Europe,3
198.32.160.58,-5.3312902,5.033573,21700,198.32.160.58,North America,2
198.32.160.60,3.3531594,61.988,22691,198.32.160.60,North America,2
198.32.160.61,12.227918,23.073595,6939,198.32.160.61,North America,2
198.32.160.87,0.62392604,61.31103,11403,198.32.160.87,North America,2
198.32.161.10,-2.3549716,18.896555,8220,198.32.161.10,Europe,3
198.32.161.23,-3.3747447,9.671644,137409,198.32.161.23,Oceania,6
198.32.176.101,6.250905,62.169857,3292,198.32.176.101,Europe,3
198.32.176.128,8.823379,15.518713,11164,198.32.176.128,North America,2
198.32.176.14,9.834082,10.283315,2914,198.32.176.14,North America,2
198.32.176.147,-8.97947,7.8918867,14061,198.32.176.147,North America,2
198.32.176.160,10.603567,1.4569783,9505,198.32.176.160,Asia,1
198.32.176.164,1.7321845,18.582748,19151,198.32.176.164,North America,2
198.32.176.177,-0.72356266,4.5410705,7575,198.32.176.177,Oceania,6
198.32.176.20,11.51843,23.157515,6939,198.32.176.20,North America,2
198.32.176.214,-5.851213,6.377108,14907,198.32.176.214,North America,2
198.32.176.226,-4.932322,5.8973985,199524,198.32.176.226,Europe,3
198.32.176.237,6.250905,62.169857,714,198.32.176.237,North America,2
198.32.176.24,13.660356,8.112901,2497,198.32.176.24,Asia,1
198.32.176.3,-4.570263,5.2503324,1280,198.32.176.3,North America,2
198.32.176.53,3.5001562,59.178528,42,198.32.176.53,North America,2
198.32.176.70,1.1304902,9.372137,6762,198.32.176.70,Europe,3
198.32.242.115,0.62392604,61.31103,10310,198.32.242.115,North America,2
198.32.242.176,12.3377695,22.174574,6939,198.32.242.176,North America,2
198.32.242.183,2.8811257,10.647554,6774,198.32.242.183,Europe,3
198.32.242.188,3.3531594,61.988,8075,198.32.242.188,North America,2
198.32.242.200,6.250905,62.169857,32934,198.32.242.200,North America,2
198.32.242.213,3.5001562,59.178528,33132,198.32.242.213,North America,2
198.32.242.254,-4.7848277,7.989741,52320,198.32.242.254,South America,4
198.32.242.55,-6.3303876,5.638976,20080,198.32.242.55,North America,2
198.32.243.125,6.250905,62.169857,32934,198.32.243.125,North America,2
