,X,Y,ASN,Continent,Colors
17579,-53.453255,-4.3877378,17579,Asia,0
45090,-59.254314,13.735419,45090,Asia,0
7418,-21.80528,24.436998,7418,South America,4
8466,10.251216,-12.801607,8466,Asia,0
37513,8.948305,1.0879436,37513,,6
6830,55.101482,33.08748,6830,Europe,1
35819,-12.270081,-10.241666,35819,Asia,0
8400,59.860317,23.157887,8400,Europe,1
2588,53.962376,14.676112,2588,Europe,1
61211,14.157618,-19.277746,61211,Europe,1
4837,-7.4742594,5.1529403,4837,Asia,0
29405,-17.110434,-36.762165,29405,Europe,1
132905,-5.3585258,-1.8402097,132905,Asia,0
11193,9.473054,41.102932,11193,South America,4
4134,-36.67838,-2.9066727,4134,Asia,0
24399,-8.36946,0.13690116,24399,Asia,0
21211,36.723667,-31.380764,21211,Europe,1
28545,-32.456768,-10.474934,28545,North America,3
52362,7.909218,10.429119,52362,North America,3
42961,50.420444,41.24035,42961,Asia,0
18420,-7.086397,2.7131238,18420,Asia,0
13004,41.726376,17.86101,13004,Europe,1
202940,26.72469,7.384775,202940,Asia,0
58322,27.20573,-26.758982,58322,Asia,0
35432,55.305557,7.418158,35432,Asia,0
20910,42.514465,-24.78344,20910,Europe,1
27668,-27.271591,14.419178,27668,South America,4
140443,22.887745,13.244403,140443,Asia,0
4750,-16.28571,-1.2740253,4750,Asia,0
4812,-37.044094,-2.7951639,4812,Asia,0
9146,22.712994,49.3182,9146,Europe,1
6147,-19.56152,24.904543,6147,South America,4
1797,-9.644806,1.7838151,1797,South America,4
34354,54.30831,8.754091,34354,Europe,1
27796,-37.2556,-11.314295,27796,North America,3
8781,21.6823,43.730446,8781,Asia,0
15399,23.886438,-5.2562313,15399,Africa,2
24390,1.9305582,12.988385,24390,Oceania,5
27831,9.965519,27.102345,27831,South America,4
7590,21.835285,43.754753,7590,Asia,0
11830,7.184903,9.137329,11830,North America,3
10098,-7.803464,0.7386329,10098,Asia,0
49604,11.714118,-1.0142449,49604,Europe,1
197706,14.911115,-12.033503,197706,Europe,1
7303,-11.500082,7.4337807,7303,South America,4
62513,3.8014488,28.18778,62513,North America,3
17552,-12.378308,4.2665863,17552,Asia,0
6568,-26.353027,15.606189,6568,South America,4
209465,-40.87451,-18.519463,209465,Europe,1
27733,-18.997862,23.871063,27733,South America,4
197692,-17.053127,-20.959806,197692,Europe,1
39891,-51.77253,36.401764,39891,Asia,0
14988,34.812317,26.129303,14988,Africa,2
27800,-6.078659,4.5641766,27800,North America,3
37390,9.434016,-1.5028018,37390,Africa,2
43451,-36.473644,-29.613367,43451,Europe,1
25365,21.303247,-11.830885,25365,Europe,1
198290,-44.568607,34.613617,198290,Europe,1
16509,23.663692,43.859306,16509,North America,3
58717,12.90057,33.479954,58717,Asia,0
44735,-26.631176,-30.90207,44735,Europe,1
39568,-58.457943,-4.866403,39568,Asia,0
15836,24.611311,-9.037985,15836,Europe,1
29355,-72.3067,15.479781,29355,Asia,0
27678,7.244678,37.910652,27678,South America,4
9318,-45.405487,-11.592211,9318,Asia,0
199524,71.99515,36.877823,199524,Europe,1
11664,-5.178877,-36.36116,11664,South America,4
34984,16.1019,-45.657063,34984,Asia,0
265721,4.28026,34.144753,265721,North America,3
133481,12.093543,25.520945,133481,Asia,0
132400,-49.470016,31.014305,132400,Asia,0
23752,18.581413,44.359173,23752,Asia,0
263777,11.84617,35.250046,263777,South America,4
210118,-33.75628,-13.994754,210118,Europe,1
41095,25.158142,37.291206,41095,Europe,1
7713,0.27226642,-19.424133,7713,Asia,0
208425,17.130371,-14.526413,208425,Asia,0
43289,40.753273,17.74129,43289,Europe,1
63927,-3.8750331,-2.0863981,63927,Asia,0
327844,22.86429,43.576145,327844,Africa,2
262913,-23.835245,-2.204446,262913,North America,3
25019,5.7056155,-44.384,25019,Asia,0
10310,-64.77531,27.115002,10310,North America,3
203512,-46.486343,-28.781485,203512,Europe,1
22927,-22.901072,25.106949,22927,South America,4
18399,-3.0835178,-1.0172812,18399,Asia,0
39935,50.945786,20.675474,39935,Asia,0
30844,4.565417,1.6760355,30844,Europe,1
13489,-60.64437,10.057874,13489,South America,4
12783,-35.264465,-29.864233,12783,Europe,1
50999,28.587234,42.181545,50999,Asia,0
49036,-26.397787,-45.553017,49036,Europe,1
44395,48.0269,-12.674562,44395,Asia,0
8226,36.38906,-5.8934965,8226,Asia,0
202090,-70.807434,3.8576636,202090,Europe,1
141371,25.752373,13.2172365,141371,Asia,0
52314,-23.7108,17.181177,52314,South America,4
204170,-32.507492,-14.728896,204170,Asia,0
4800,-64.44805,16.491365,4800,Asia,0
5416,-49.20041,-8.617139,5416,Asia,0
61135,23.55486,22.287668,61135,Asia,0
12539,-25.787394,-45.716537,12539,Europe,1
9329,-43.35123,-15.639819,9329,Asia,0
7420,-51.15268,38.837376,7420,Africa,2
49402,16.552896,-20.014866,49402,Europe,1
327707,-0.5187685,-0.44707507,327707,Africa,2
44549,46.457443,22.472446,44549,Europe,1
11815,-17.112904,24.736366,11815,South America,4
264605,4.4968095,34.17796,264605,North America,3
10131,-8.65331,22.489775,10131,Oceania,5
198288,-64.70208,4.1262674,198288,Europe,1
202130,-35.636738,-43.57579,202130,Asia,0
56099,-7.9047112,2.1801288,56099,Asia,0
18419,-26.593151,-5.8762994,18419,Asia,0
28683,-66.367744,16.92658,28683,Africa,2
327831,19.297136,9.832615,327831,Africa,2
37061,-0.31730142,-18.11209,37061,Africa,2
203618,15.54446,-19.023062,203618,Europe,1
266858,15.384741,35.235817,266858,South America,4
51896,23.333769,-4.3634596,51896,Europe,1
12735,-4.895858,-28.53806,12735,Asia,0
52285,4.169492,14.592898,52285,South America,4
8767,72.07453,31.829659,8767,Europe,1
2200,42.453354,31.500462,2200,,6
198208,10.493961,-13.433505,198208,Asia,0
60471,-40.72928,-18.565529,60471,Europe,1
50345,1.2991079,-43.90997,50345,Europe,1
208448,-71.37168,18.11333,208448,Asia,0
44647,-11.363384,-26.920694,44647,Europe,1
14434,-2.2362294,12.486401,14434,North America,3
5479,53.629368,14.613854,5479,Europe,1
61094,14.395514,-46.78454,61094,Europe,1
8376,-32.896008,-16.060991,8376,Asia,0
13046,21.188978,-11.859667,13046,Europe,1
35734,62.588585,16.279945,35734,Europe,1
9785,11.809154,24.720545,9785,Asia,0
137431,-67.75933,23.4824,137431,Asia,0
60924,25.504547,13.316077,60924,Europe,1
3320,73.428566,29.25481,3320,Europe,1
43260,10.583891,-13.461034,43260,Asia,0
28073,-24.290653,-9.162262,28073,South America,4
2722,-58.76896,22.148006,2722,North America,3
27843,-19.267149,24.513073,27843,South America,4
37084,2.5902572,3.8321614,37084,Africa,2
61189,-49.06279,-35.86133,61189,Europe,1
269923,-47.35463,-3.8727293,269923,North America,3
200129,35.944065,39.447937,200129,Europe,1
58431,15.724328,36.920483,58431,Oceania,5
20776,-28.553095,-11.47156,20776,North America,3
132167,13.70604,24.623796,132167,Asia,0
267685,-27.1914,-8.369782,267685,South America,4
204467,25.108177,-26.34717,204467,Europe,1
17962,-40.05584,-1.9463918,17962,Asia,0
27947,-12.669276,0.9453827,27947,South America,4
60258,-58.812473,-23.439405,60258,Asia,0
37074,-0.7799598,2.769953,37074,Africa,2
198561,4.3724127,-26.850925,198561,Asia,0
60631,-77.47842,4.1870193,60631,Asia,0
8758,38.957577,40.675568,8758,Europe,1
52336,15.377295,40.210705,52336,North America,3
12849,-14.80883,-23.412605,12849,Asia,0
8422,60.41211,30.085333,8422,Europe,1
36884,-22.033316,-20.648527,36884,Africa,2
56568,6.6059785,-49.196884,56568,Asia,0
60304,14.930202,-12.060379,60304,Europe,1
9129,-43.206657,-12.418769,9129,Africa,2
199159,21.905481,40.300266,199159,Europe,1
50710,48.565594,29.83127,50710,Asia,0
263157,-21.794798,7.9464664,263157,North America,3
27725,-2.8223066,12.313256,27725,North America,3
264676,-37.510418,-11.331551,264676,North America,3
24589,-56.745358,-31.091234,24589,Europe,1
25534,54.82396,14.302285,25534,Asia,0
44244,13.985943,-52.834053,44244,Asia,0
38949,10.3248625,-25.269482,38949,Europe,1
6677,-5.676622,-21.9491,6677,Europe,1
10753,-49.444458,37.55832,10753,North America,3
199484,11.538088,-13.425459,199484,Asia,0
30999,32.694492,41.632164,30999,Africa,2
23031,-44.688686,1.2717127,23031,South America,4
34296,-49.470284,-20.738956,34296,Europe,1
8194,-26.46718,-47.6723,8194,Europe,1
33922,-48.520393,-35.68224,33922,Europe,1
263703,-26.741297,-8.933496,263703,South America,4
52341,-27.821596,15.564157,52341,South America,4
1967,-20.566399,-22.59554,1967,,6
37578,26.480137,16.498203,37578,Africa,2
28109,-18.892132,7.6630673,28109,South America,4
8412,73.016716,33.350727,8412,Europe,1
37386,23.261042,43.711754,37386,Africa,2
48979,-65.11395,12.043917,48979,Asia,0
1267,29.917522,-20.222326,1267,Europe,1
9269,13.082078,7.297537,9269,Asia,0
1850,39.35947,42.254383,1850,Europe,1
28118,-10.249401,4.579298,28118,North America,3
327741,-42.631355,4.8346643,327741,Africa,2
131627,1.8215741,11.510207,131627,Asia,0
8887,23.237673,-29.30351,8887,Europe,1
14522,-24.736736,15.676122,14522,South America,4
52361,-43.635895,1.1017216,52361,South America,4
201852,6.484921,-15.729394,201852,Europe,1
17804,-37.702534,-7.334606,17804,Asia,0
63848,-3.2759237,-2.9343665,63848,Asia,0
2119,69.57111,26.502157,2119,Europe,1
15440,-26.169897,-45.73078,15440,Europe,1
45725,-18.218517,-1.5343304,45725,Asia,0
262178,-3.3738666,12.232006,262178,North America,3
14813,-47.403606,-3.9527533,14813,North America,3
41828,17.708107,-20.78433,41828,Europe,1
36549,-37.196102,-0.073692106,36549,North America,3
31034,43.56247,37.234875,31034,Europe,1
12508,7.230816,-24.044027,12508,Europe,1
199128,44.081516,-7.4866257,199128,Europe,1
4616,12.837419,7.0320725,4616,Asia,0
202632,-31.016413,-25.671268,202632,Europe,1
44377,-40.867306,-25.714907,44377,Europe,1
51859,29.02461,45.198364,51859,Europe,1
25513,67.27475,21.75981,25513,Europe,1
8240,52.91021,8.957447,8240,Europe,1
27660,-18.702282,-5.9322677,27660,North America,3
13194,42.376125,-24.856712,13194,Europe,1
5518,-4.6780424,-41.019386,5518,Europe,1
61399,-29.135729,-43.722775,61399,Asia,0
49624,52.134968,-2.118572,49624,Europe,1
45345,6.7636075,30.62875,45345,Oceania,5
205961,-20.9381,-22.007797,205961,Asia,0
51346,-48.95224,-36.76245,51346,Asia,0
16125,42.482143,-1.6020881,16125,Europe,1
44369,-51.892757,-14.59597,44369,Europe,1
14061,50.927746,-3.5017881,14061,North America,3
264640,-20.008566,24.980055,264640,North America,3
16276,34.74157,41.708645,16276,Europe,1
45899,-61.210945,4.2739406,45899,Asia,0
9735,-58.818798,-0.31133473,9735,Asia,0
41424,13.062096,-32.515617,41424,Europe,1
6535,-5.249195,15.140224,6535,South America,4
27839,-19.596539,25.118862,27839,South America,4
61449,-27.231964,16.44195,61449,South America,4
9051,-21.785894,-17.68012,9051,Asia,0
9340,4.9159236,24.710417,9340,Asia,0
8778,-46.766247,-25.271494,8778,Europe,1
37336,-0.16414347,2.5305693,37336,Africa,2
2586,60.492012,15.305417,2586,Europe,1
30983,6.821929,2.276267,30983,Africa,2
25532,-72.62242,4.8319445,25532,Europe,1
34594,31.992847,-3.054947,34594,Europe,1
262149,5.0664325,33.22759,262149,North America,3
35753,-56.317856,-19.7341,35753,Asia,0
38008,-55.93974,1.2854447,38008,Asia,0
48275,-53.5203,-30.247498,48275,Europe,1
2860,51.25892,32.443993,2860,Europe,1
27792,-27.70235,13.367604,27792,South America,4
36290,-60.531143,10.115465,36290,North America,3
8982,6.99687,-1.0145825,8982,Europe,1
27828,-21.40635,24.399994,27828,South America,4
132796,-5.4732475,0.28845143,132796,Asia,0
28000,18.543383,41.21701,28000,South America,4
33771,-25.840073,-15.099588,33771,Africa,2
45355,-13.658792,-1.410384,45355,Oceania,5
61102,-10.773508,-25.563038,61102,Asia,0
25455,-3.4306962,-32.41649,25455,Europe,1
45170,13.012438,36.238503,45170,Asia,0
265662,-29.436726,-10.1539345,265662,South America,4
131743,-5.026678,-3.303033,131743,Asia,0
25273,-51.9508,-8.509775,25273,Europe,1
43197,-54.100204,-30.296059,43197,Asia,0
60288,-46.701775,34.91502,60288,Europe,1
21351,-48.92915,-18.850468,21351,North America,3
4528,-7.9914207,-0.05543231,4528,Asia,0
56665,6.8486576,-44.8565,56665,Europe,1
131995,-15.436545,2.1762612,131995,Oceania,5
64314,-31.054,-8.285564,64314,Asia,0
27747,-26.96225,15.90005,27747,South America,4
36909,0.17405953,0.03802173,36909,Africa,2
5087,20.025875,-16.422228,5087,Asia,0
134285,-50.54721,13.206578,134285,Asia,0
262239,-20.915453,24.303328,262239,North America,3
55699,-47.33196,-19.327877,55699,Asia,0
56681,-36.58317,-25.625158,56681,Europe,1
12764,-52.321533,-32.583138,12764,Asia,0
37123,-27.92388,-4.7790456,37123,Africa,2
9125,-49.177917,-30.392197,9125,Europe,1
133809,20.940203,-18.051582,133809,Asia,0
49711,27.9266,-41.803654,49711,Europe,1
8346,-50.069996,-7.40541,8346,,6
17501,-38.953568,16.940193,17501,Asia,0
5578,-56.713562,-12.191248,5578,Europe,1
2609,30.779339,22.967855,2609,Africa,2
15815,62.501797,24.164635,15815,Asia,0
57722,-65.43031,0.18714222,57722,Europe,1
49902,-11.027409,-22.301031,49902,Africa,2
205818,20.196667,-12.644174,205818,Europe,1
209045,-63.384003,-15.92558,209045,Europe,1
62024,-27.009602,-25.862331,62024,Europe,1
3549,-23.863195,14.850888,3549,North America,3
202196,27.160805,35.171623,202196,Europe,1
198330,-50.923935,-16.98393,198330,Europe,1
197119,-57.58857,-30.023077,197119,Asia,0
55933,-62.662407,3.5934057,55933,Asia,0
37009,9.091694,1.815603,37009,,6
38968,-43.887173,-30.387987,38968,Asia,0
49688,-49.343887,-17.60532,49688,Europe,1
52322,-43.702827,1.0616292,52322,South America,4
44234,10.203324,-19.779942,44234,Europe,1
14080,-54.988625,-15.771762,14080,South America,4
11172,-59.47165,9.069593,11172,North America,3
