"ROUTEVIEWS_COLLECTOR","ASNUMBER","REGION","PREFIXES"
"route-views.fortaleza.routeviews.org","199524","LU","ripencc"
"route-views.fortaleza.routeviews.org","263945","BR","lacnic"
"route-views.fortaleza.routeviews.org","267613","BR","lacnic"
"route-views.fortaleza.routeviews.org","52320","CO","lacnic"
"route-views.fortaleza.routeviews.org","263009","BR","lacnic"
"route-views.fortaleza.routeviews.org","266413","BR","lacnic"
"route-views.fortaleza.routeviews.org","7195","CO","lacnic"
"route-views.fortaleza.routeviews.org","268011","BR","lacnic"
"route-views.fortaleza.routeviews.org","199524","LU","ripencc"
"route-views.gorex.routeviews.org","35889","US","arin"
"route-views.gorex.routeviews.org","35889","US","arin"
"route-views.isc.routeviews.org","1280","US","arin"
"route-views.isc.routeviews.org","6939","US","arin"
"route-views.isc.routeviews.org","6762","IT","ripencc"
"route-views.isc.routeviews.org","30286","US","arin"
"route-views.isc.routeviews.org","19151","US","arin"
"route-views.isc.routeviews.org","7575","AU","apnic"
"route-views.isc.routeviews.org","36351","US","arin"
"route-views.isc.routeviews.org","199524","LU","ripencc"
"route-views.isc.routeviews.org","714","US","arin"
"route-views.isc.routeviews.org","1280","US","arin"
"route-views.isc.routeviews.org","6939","US","arin"
"route-views.isc.routeviews.org","6762","IT","ripencc"
"route-views.isc.routeviews.org","714","US","arin"
"route-views.isc.routeviews.org","199524","LU","ripencc"
"route-views.kixp.routeviews.org","37578","KE","afrinic"
"route-views.kixp.routeviews.org","37704","KE","afrinic"
"route-views.kixp.routeviews.org","37704","KE","afrinic"
"route-views.kixp.routeviews.org","6939","US","arin"
"route-views.kixp.routeviews.org","6939","US","arin"
"route-views.linx.routeviews.org","47957","FR","ripencc"
"route-views.linx.routeviews.org","61955","DE","ripencc"
"route-views.linx.routeviews.org","6939","US","arin"
"route-views.linx.routeviews.org","37497","ZA","afrinic"
"route-views.linx.routeviews.org","5413","GB","ripencc"
"route-views.linx.routeviews.org","6453","US","arin"
"route-views.linx.routeviews.org","3292","DK","ripencc"
