asn,hege
3630,1.0
3633,1.0
3634,1.0
3635,1.0
3640,1.0
3644,1.0
3648,1.0
3651,1.0
3654,1.0
3655,1.0
3657,1.0
3659,1.0
3660,1.0
3661,1.0
3662,8.083252268901765
3663,6.449105012915864
3666,1.0
3671,1.0
3676,3.964224037328303
3677,1.0
3680,1.0
3681,1.0
3685,2.327635327635328
3688,1.0
3695,1.0
3700,2.0
3701,4.348241969130472
3705,1.0
3708,1.0
3709,1.0
3713,1.0
3714,2.141392895299145
3719,1.0
3722,0.1226210826210826
3724,1.0
3725,1.0
3727,1.0
3729,1.0
3730,1.0
3734,1.0
3736,1.0
3737,17.725372482135754
3738,1.0
3741,53.49469608109779
3742,2.87109896120645
3743,1.0
3744,0.03041121096041
3745,1.0
3748,1.0
3751,0.623931623931624
3755,3.916666666666667
3756,1.0
3758,54.58006442913183
3762,1.0
3763,1.0
3766,2.0
3769,1.0
3770,81.00981141888496
3776,1.0
3777,1.0
3778,1.717724609375
3782,1.0
3784,1.0
3785,1.0
3786,115.7040432824071
3789,1.0
3790,2.91838051994302
3791,1.0
3794,1.0
3795,1.0
3800,1.0
3801,1.311016144349478
3804,1.0
3807,1.0
3810,1.0
3813,1.0
3816,13.537045031252703
3820,1.0
3826,1.0
3828,1.0
3832,1.0
3833,1.0
3834,1.0
3836,1.0
3838,1.0
3839,1.0
3842,1.0
3845,1.0
3846,1.0
3847,1.0
3848,1.0
3850,1.0
3851,2.0
3853,1.0
3855,7.068757631257633
3856,1.0
3858,1.0
3900,17.129885448710404
3901,1.0
3902,1.0
3905,1.0
3908,17.64253920798251
3909,1.0
3910,87.2522174150642
3911,1.0
3912,4.554889875082185
3914,1.0
3916,1.0
3917,1.0
3918,1.0
3921,1.0
3923,1.006863025450386
3925,1.0
3926,1.0
3927,1.5726495726495728
3930,1.0
3931,1.0
3933,1.0
3935,1.0
3938,1.0
3943,1.0
3944,1.0
3949,1.0
3952,1.0
3954,1.0
3955,1.0
3957,1.0
3958,1.0
3962,1.0
3967,1.0
3968,1.0
3970,1.0
3976,1.0
3999,1.0
4004,1.1288133808359069
4007,12.719114392551894
4010,1.0
4015,1.0
4021,1.0
4039,1.0
4040,0.18233618233618282
4043,1.0
4046,1.0
4049,12.0
4057,1.0
4058,9.877338367408178
4128,1.0
4130,1.0
4133,1.0
4134,202.63410848410078
4136,3.7986237578825373
4138,1.0
4143,1.0
4150,3.0277777777777777
4151,0.00280898876404494
4152,1.002808988764045
4158,1.0
4172,1.0
4179,1.0
4181,21.46255159419273
4182,1.0
4184,1.0
4185,2.0
4188,1.0
4190,1.0
4192,1.055639031724583
4193,2.495972073039742
4195,1.0
4196,1.0
4199,1.0
4201,1.0
4202,1.0
4205,1.0
4208,1.0
4211,1.0
4213,2.735089664396459
4224,1.0
4229,2.013888761968093
4230,455.29118251774685
4232,1.0
4237,1.0
4241,1.0
4243,1.0
4246,1.0
4249,1.0
4255,1.0
4258,2.604044345348693
4261,4.427350427350427
4262,1.0
4263,3.0
4264,1.111111111111111
4265,2.0227272727272725
4266,1.444444444444444
4267,0.8888888888888886
4268,1.0
4269,1.012987012987013
4270,14.340480414193648
4274,1.0
4277,1.0
4282,1.0
4283,1.0
4284,1.0
4293,0.282051282051282
4296,0.313359013310185
4298,1.0
4306,1.0
4307,1.0
4309,1.0
4310,1.0
4314,2.0854700854700856
4318,1.0
4319,1.0
4323,1.0909090909090908
4324,1.0
4352,1.0
4354,1.0
4356,1.0
4358,1.0
4364,1.0
4366,1.0
4367,1.0
4373,1.0
4374,1.0
4382,1.0
4385,1.0
4387,1.0
4390,1.0
4393,1.0
4405,1.0
4410,1.0
4434,1.0
4443,1.0
4451,1.0
4452,1.0
4454,1.0
4455,68.00643611890382
4459,3.5
4465,1.0
4466,1.0
4468,1.0
4469,1.0
4470,1.0
4473,3.0
4474,3.0
4476,1.0
4493,1.0
4497,1.0
4503,1.0
4505,1.0
4508,1.0
4511,1.0
4514,1.0
4515,28.08336745162205
4528,1.267579642579643
4531,1.0
4538,11.974358974358982
4539,1.0
4540,1.0
4543,1.0
4544,2.0
4546,1.0
4549,1.75
4556,2.0
4557,6.482976225361163
4563,1.0
4565,1.0
4566,1.0
4574,2.108262108262108
4576,1.0
4577,1.0
4578,1.0
4581,6.769667148188275
4583,1.0
4589,1.0001346302716165
4594,2.0
4597,1.0
4604,1.0
4605,1.0
4608,2.0
4609,3.133970164437403
4611,1.0
4613,2.0
4616,1.0
4618,14.63988773005317
4621,42.70500114331112
4622,1.0
4623,1.0
4628,4.811521306161012
4631,1.0
4632,1.0
4635,8.381067889156673
4637,378.12663502493984
4638,3.125
4641,2.096122605363985
4642,1.0
4643,1.0
4645,1.0
4646,1.0
4647,1.0
4648,78.09912595869827
4651,145.4449960360095
4653,1.0
4655,1.0
4656,1.0
4657,87.00214090289154
4658,1.0
4661,1.0
4662,1.0
4663,1.0
4664,1.0
4665,1.0
4667,1.0
4668,1.0
4669,1.0
4670,2.1968128150797943
4672,1.0
4673,1.0
4675,1.0
4677,1.0
4678,1.0
4680,1.0588793922127255
4685,1.0
4686,1.0
4690,1.0
4693,1.0256410256410255
4694,3.642014218530551
4695,1.0
4697,1.0
4711,1.0
4713,34.30676477347011
4718,1.0
4719,1.0
4721,1.0
4723,1.0
4725,7.971599349500162
4729,1.0
4730,1.0
4739,11.11099456099456
4741,3.630689234137509
4748,1.0
4749,1.0
4750,39.35009195904577
4755,795.6794825196127
4756,1.0
4758,3.2638638584518773
4759,1.0
4760,2.484119335909187
4761,102.88880250254104
4762,1.0
4764,34.986586926883675
4765,2.0003471855166772
4766,408.89818661592034
4767,1.0
4768,21.436388428027776
4769,1.0
4770,4.55448717948718
4771,4.0
4773,1.0
4774,1.0
4775,64.2568378175952
4776,2.6
4777,2.0085470085470085
4778,1.0
4779,0.09162895927601811
4780,24.95249791233595
4781,1.0
4782,1.0
4783,1.0
4785,1.2601795138487615
4786,1.0
4787,36.7978506365914
4788,81.85940685309207
4790,1.0
4791,1.0
4792,1.0
4793,1.0
4795,4.750437062937063
4796,1.0
4797,1.0
4800,98.06998490999526
4801,1.0
4802,2.0
4804,1.0095888656176275
4805,0.0260182363121184
4808,24.991103296159448
4809,76.99666840831105
4811,3.4496266478244815
4812,24.805152528388195
4816,1.9672039795608671
4817,1.0
4818,2.7501592074036205
4819,1.0
4820,1.0
4821,1.0
4822,1.0
4825,1.0
4826,616.0766692910254
4827,1.0
4828,1.0
4830,1.0
4831,1.0
4833,2.0
4835,1.0
4837,90.34703759017458
4842,2.0
4844,3.401709401709402
4845,1.0034965034965035
4846,1.0
4847,51.6104929789349
4850,1.0
4851,4.669542784163474
4855,1.0
4857,1.0
4858,1.0
4859,1.0
4862,3.370646411063079
4864,1.0
4867,1.0
4868,1.0
4869,1.0
4871,1.0
4876,1.0
4877,1.0
4878,1.0
4879,1.0
4880,1.0
4882,1.0
4883,1.0
4884,1.0
4886,1.0
4887,1.0
4888,1.0
4889,1.0
4890,1.0
4891,1.0
4892,1.0
4893,1.0
4894,1.0
4897,1.0
4898,1.0
4900,1.0
4901,1.0
4902,1.0
4903,1.0
4905,1.0
4906,1.0
4907,1.0
4908,1.0
4911,1.0
4912,1.0
4913,3.049082888444368
4917,1.0
4922,21.708905770185503
4923,1.0
4926,1.0
4927,3.5184089414858644
4940,1.0
4954,1.0
4961,1.0
4965,1.0
4972,1.0
4977,1.0
4980,1.0
4983,1.0
4985,1.0
4986,1.0
4991,1.0
4995,1.0
4996,1.7777777777777781
4997,1.0
5003,1.0
5006,5.0559422059422054
5008,1.0
5009,10.38296425796426
5015,1.0
5022,1.0
5026,1.0
5032,1.0
5033,1.0
5036,1.0
5048,1.0
5049,1.0
5050,10.671798020559136
5052,1.0
5056,43.505427999707656
5058,1.0
5065,1.0
5069,1.0
5071,1.0437538058827323
5073,1.0
5078,15.055506331071536
5080,1.0
5081,1.0
5087,1.0
5088,1.0
5089,41.16620914996532
5090,1.0
5091,1.0
5098,1.0
5101,1.0
5107,0.192307692307692
5108,1.0
5110,1.0
5117,1.0
5132,1.0
5133,1.0
5180,1.0
5182,1.0
5231,0.925
5237,1.0
5264,1.0
5306,1.0
5307,1.0
5323,1.0
5329,1.0
