asn,hege
3856,8.34630991991372e-08
26667,2.08656983182148e-06
36062,6.86457617166048e-07
3257,0.0257485368875233
396986,3.75602999752297e-06
138699,5.00778598816474e-07
42909,4.17315687983941e-07
6774,0.00124111101223409
60068,0.000149255979836159
39386,0.00193619161587388
54825,0.000139541350861716
9002,0.00382010689601035
4455,0.000155790408464981
399104,1.81806963592259e-07
55569,3.45766193878629e-07
34655,2.83772625506693e-06
202053,1.71933534685821e-05
132876,6.4433378453821e-05
140951,9.8613129498242e-08
14340,0.000291036264601718
37468,0.000501587491298906
131267,3.43607742350015e-06
18001,7.55147311668366e-05
7595,7.51166913975453e-07
18059,1.53979201366153e-05
132132,1.68791105014818e-05
10075,7.36874785305264e-05
58430,6.77067809436512e-06
132602,0.000157693063806049
58718,1.6692714744477e-07
45250,6.05867192658118e-06
45796,3.54593821302272e-05
132816,6.67706673196339e-07
56258,7.87235696689598e-06
131314,5.89192979234181e-06
38496,8.33483399482675e-06
3223,0.000313771274806895
7575,0.00145131414772454
133959,3.32858760249096e-07
23947,0.000146706051685386
132134,8.34633341495423e-08
18187,5.13887072782716e-06
132708,6.67706673196339e-07
139901,6.34877581344194e-06
45489,0.000245321142395048
136106,0.000113783623318525
24088,2.20386034334803e-05
136749,3.33852396796549e-07
38090,1.75269899680556e-06
136838,7.31212240405672e-06
14907,1.13599644782952e-06
137491,2.9576388253559e-05
137557,5.72099545533015e-06
137831,1.23524828833373e-05
63631,2.03593015227019e-06
55933,6.15770275372993e-05
63859,1.26613471610843e-05
137990,1.83617026330184e-06
136119,3.14130514243969e-06
64315,4.63521339176407e-06
138064,5.00839835936468e-07
134823,8.5561809287362e-06
138552,8.34630991991372e-08
135300,1.07629002944898e-06
138608,3.18178829373708e-06
59238,5.00776654485591e-07
134428,2.41051530764291e-06
139057,3.25498698043663e-06
10122,2.10326147915388e-05
139225,8.34633341495423e-08
22697,1.22690940339698e-05
41378,7.67555840919669e-06
139628,2.29810433224287e-06
139831,1.83618578971777e-06
139836,2.25377154997543e-06
140443,1.50233027891147e-06
136557,3.35009854935692e-05
140577,2.83774964051002e-06
138456,1.75270983683071e-06
9381,0.000283916839525453
141995,4.34005191951413e-06
142146,1.6692714744477e-07
58955,2.42045891709608e-06
45259,1.66925805703436e-07
138128,7.7280628602767e-06
41690,2.67082319106825e-06
135607,2.43338933955395e-05
134835,3.8415504467959e-06
13150,8.76350511976795e-06
135158,1.49361138868731e-06
27281,5.2706514191561e-07
44356,7.30878182278749e-06
55329,2.0431430409647e-05
4007,1.64668772927604e-05
64010,1.00156000979451e-06
6507,7.45473280850014e-06
132734,2.49924281525174e-07
132837,3.33869019084419e-07
132829,2.58420624533122e-06
55818,3.40820194220071e-05
18254,2.03644812364456e-06
63199,4.386741943713e-05
29802,9.9011498516149e-05
38193,0.000209006037456533
55821,2.21153497208075e-05
7632,0.000328634195532355
9584,2.48828803349499e-05
23944,5.83630035072524e-05
17494,5.9252156847517e-05
10089,8.64377558212076e-05
44444,1.41885333649284e-05
132146,4.00621828394147e-06
38321,4.17312684568666e-07
17408,0.000107820577975857
54994,3.95464752537833e-05
6648,0.000119286965229646
38158,8.90319343215189e-05
23930,1.75026488446103e-05
62610,3.532264389603e-06
32261,9.69622333214431e-06
50154,6.52095073990146e-08
53813,6.76048719140048e-06
200478,1.08501297987853e-06
59378,2.46017200854812e-06
59605,0.000413609010562247
4058,9.27504993524769e-05
38553,3.505422842945e-06
399077,2.74618450363686e-05
9419,1.98643305459276e-05
7160,6.65300687044047e-05
53334,2.66408789168224e-06
33229,4.17496426014043e-07
30103,6.3097677602668e-05
15932,0.000140040568463734
21245,2.08654883803999e-06
42473,2.53047081778267e-05
2635,1.251938053706e-05
26415,2.27353079384561e-06
25192,2.30225786955431e-06
8360,8.34622125456931e-07
328126,5.00770889277773e-07
2559,1.36910606040351e-05
20144,5.84234966982772e-07
7610,2.2117847036432e-05
9226,1.00716529121873e-05
7568,0.000131238032883248
23855,2.35416417889364e-06
24538,9.88876058485534e-06
9821,4.09104621495308e-06
