,AS_rank_rank,AS_rank_source,AS_rank_longitude,AS_rank_latitude,AS_rank_numberAsns,AS_rank_numberPrefixes,AS_rank_numberAddresses,AS_rank_total,AS_rank_customer,AS_rank_peer,AS_rank_provider,AS_rank_iso,AS_rank_continent,is_personal_AS,peeringDB_info_ratio,peeringDB_info_traffic,peeringDB_info_scope,peeringDB_info_type,peeringDB_info_prefixes4,peeringDB_info_prefixes6,peeringDB_policy_general,peeringDB_ix_count,peeringDB_fac_count,peeringDB_created,is_in_peeringDB,AS_hegemony,nb_atlas_probes_v4,nb_atlas_probes_v6,nb_atlas_anchors,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer,AS_rel_degree,cti_top,cti_origin,ASDB_C1L1,ASDB_C1L2
AS_rank_provider,-0.6342893314390665,0.31949250322368267,-0.048568631835413115,0.46783924277887046,0.32980352119976625,0.6743652648641757,0.8453751259838669,0.8077778105136817,0.31449504260641525,0.37628994999745574,1.0,0.3992071192718632,0.3173089333729465,-0.04712889702234455,0.322699567222315,0.02762641344915782,0.321873777494313,0.34141756034602694,-0.008505635167248784,-0.018391544376757725,0.3153673229178362,0.3343230506831183,0.2884999743451783,0.5641093094779633,0.31264531776996674,0.011702683274493548,0.04652849267534947,0.030242079935584247,0.06229246969619421,0.10081487589299379,0.08786100352694945,0.08071949245446702,0.15142134047812172,0.04218590738413149,0.13535661581962835,0.29763407849032963,0.24887776667039346
AS_rank_iso,0.39198397323479284,0.9871664047256744,0.7559107331050504,0.7237042443120785,0.270204355822844,0.30087627429164415,0.4013653739365437,0.35472440889161716,0.1414023523248678,0.28141557527311906,0.3992071192718632,1.0,0.9989871135772289,0.15880770081561385,0.16293902203001343,0.019166997822959924,0.295622505974791,0.1392664027070786,0.03850738494979448,0.05674754054174465,0.17619350317491247,0.22631358244046992,0.1898586579251724,0.29620490017686607,0.33983491777704933,0.020929751791585485,0.06272355578419342,0.05773875985364679,0.0630046870019563,0.11492776273213791,0.10200844953382412,0.07111162189020556,0.09368010104815475,0.22156961517234683,0.4443068379943936,0.18590338389980185,0.06639004450714199
AS_rank_continent,0.3279315242024735,0.9532123696537602,0.7091076232159818,0.6745576243267863,0.2582440722466123,0.22497213561797946,0.3099582411468075,0.29095034707342243,0.11080706310409083,0.1975295208714869,0.3173089333729465,0.9989871135772289,1.0,0.09105519548802492,0.12040849979110527,0.006311728099152639,0.29964355596883485,0.13228783619544945,0.009063734586843076,0.012127417793606632,0.13365878812525625,0.14444465679348126,0.10742203459323328,0.22388674656392463,0.26336397355962393,0.011582661490645785,0.03610648487382445,0.024736835562084454,0.025306731926794248,0.06027148689839223,0.05100480371838933,0.02459686279676834,0.060055967405943544,0.05875278888158317,0.18407876959529523,0.22699425293604134,0.18459222859605737
is_personal_AS,0.037602985372621064,0.09409247520524187,0.0003650937032599975,-0.009463601133623585,-0.02056027034003791,-0.04682388242760199,-0.056557453850461695,-0.03119958478538012,-0.016050730674663383,-0.0012108244643708691,-0.04712889702234455,0.15880770081561385,0.09105519548802492,1.0,0.10877526347712979,-0.001154166577934806,0.15478804759393056,0.31946677321774125,0.010602117157530828,0.0073895000233887955,0.10511234530840435,0.08283518383114963,0.023032364806707933,0.8483642201090889,0.09931634160992052,-0.001729590398412399,-0.0008363058272133389,0.0032848777398971607,0.001098385106644209,0.024461619122076516,0.03696516719043802,0.007245290943386619,-0.0021820236371945106,-0.002374583941879577,-0.01194068144858143,0.06470777864067621,0.07963395811716681
peeringDB_info_ratio,0.3710846588574506,0.12907235059684216,0.04330690767324017,0.09072330912545377,0.367887461483895,0.43662093848153216,0.3527148279508847,0.512571354714603,0.3971340143541421,0.5144991308642711,0.322699567222315,0.16293902203001343,0.12040849979110527,0.10877526347712979,1.0,0.06774397151126026,0.5252758426884392,0.5359988041663691,0.0911397362036177,0.12327794736623035,0.48603865689744197,0.6550066379027025,0.5741905401172763,0.882297532787566,0.9874576272206732,0.0417637552566981,0.07949573264817662,0.05850398623987009,0.08663203983626558,0.1591011179667219,0.1445602791250692,0.12666181999910803,0.16848147933244126,0.06080764753144434,0.1694368487962677,0.12398080048635714,0.1447541125918995
peeringDB_info_traffic,-0.02580585312402323,0.006001101292695369,-0.0064161399256505965,0.010653686620696693,0.13462659474284763,0.0857063707024886,0.04270532094989543,0.08058328940396284,0.11043647331482027,0.07773829931549439,0.02762641344915782,0.019166997822959924,0.006311728099152639,-0.001154166577934806,0.06774397151126026,1.0,0.08210022234700362,0.06316924950352935,0.11258257965844737,0.10114732959780036,0.06297682942419444,0.09187679268471742,0.12011375942726467,0.9221650274953067,0.039153784598904826,0.46004896844487747,0.09026185073683972,0.19367450491236152,0.0745321818357218,0.09202647497181211,0.09615986228287039,0.10048138995917513,0.3206711148971838,0.13742179349804495,0.04923494624256333,0.01631201437444874,0.030237850457516938
peeringDB_info_scope,0.36949634950429533,0.3072194345650994,0.29881674748723114,0.2544782058091095,0.37006096188408777,0.4363880872907877,0.34949666040830263,0.5187883356916075,0.3982225777559138,0.5360575569949226,0.321873777494313,0.295622505974791,0.29964355596883485,0.15478804759393056,0.5252758426884392,0.08210022234700362,1.0,0.40277816566177355,0.09272869017675343,0.11196831824480852,0.49247398439853796,0.6702345341906174,0.6070615031585148,0.882679137424458,0.9934411456052517,0.07544172381904736,0.09089745367076725,0.07337415848494314,0.09711542870594579,0.19343549740461072,0.18087713678978806,0.15156806876355983,0.20952571323681085,0.10652645171721763,0.19445234710631842,0.09762549707880823,0.11262665475240917
peeringDB_info_type,0.39243616859900826,0.1409262076673034,0.02491017572816533,0.11890927618112601,0.434212490733077,0.47088083685581983,0.3745916134718314,0.5342629674632435,0.4572617342950248,0.5300725517478398,0.34141756034602694,0.1392664027070786,0.13228783619544945,0.31946677321774125,0.5359988041663691,0.06316924950352935,0.40277816566177355,1.0,0.2788089328967253,0.4471867434731943,0.49479895491939957,0.6646905047065856,0.6006154193918696,0.882832915062988,0.9915481463724761,0.06633254831777567,0.08138625197771608,0.063018198217821,0.09835988011603622,0.17966423378027851,0.16903675522495362,0.14729720021161158,0.2121218843527484,0.09166594090907958,0.18026641260765208,0.1461988365238616,0.14096943716683877
peeringDB_info_prefixes4,-0.005088180189806451,0.01212027994597623,0.0049186216779786695,-0.008300954062222725,0.09466727593888961,0.045644930597192046,0.01020885820936197,0.03762537264727488,0.0788108661240434,0.04215545667471306,-0.008505635167248784,0.03850738494979448,0.009063734586843076,0.010602117157530828,0.0911397362036177,0.11258257965844737,0.09272869017675343,0.2788089328967253,1.0,0.7080963338666215,0.08136096870716483,0.08416067875949819,0.08880091755052308,0.9882114927405231,0.07481104387781201,0.17135748273222481,0.021651945755242426,0.0297939305176596,0.028465649343099246,0.04845736483957384,0.04551288496124587,0.07316425990742322,0.11095006840309907,0.055410062904349064,0.03142381346594796,0.023012510199339965,0.02543132937941999
peeringDB_info_prefixes6,0.006809989933275617,0.012950845874353084,0.00512073125368896,-0.017941693225245248,0.0741668357573062,0.029775459006663934,-0.004701689837372462,0.025638504259714076,0.061502707583403655,0.038216082444136705,-0.018391544376757725,0.05674754054174465,0.012127417793606632,0.0073895000233887955,0.12327794736623035,0.10114732959780036,0.11196831824480852,0.4471867434731943,0.7080963338666215,1.0,0.10410988767334638,0.10612722758817072,0.09254490747320958,0.9921672803853139,0.09830247275055899,0.1278302452262569,0.016947879581775443,0.04165730479035937,0.01608711857629692,0.040377698596943706,0.03817251532752183,0.07102703877342988,0.10126137289251544,0.04013865072870656,0.01879252779223461,0.032726606860269625,0.03618687924301864
