loc,IPv,Y,X,AS_rank_continent,Colors,ASN
GLOBAL,4,1,-0.4250172657158588,North America,3,32954
GLOBAL,4,1,-0.4250172657158588,North America,3,398189
GLOBAL,4,1,-0.4250172657158588,North America,3,396907
GLOBAL,4,1,-0.4250172657158588,North America,3,22471
GLOBAL,4,1,-0.4250172657158588,North America,3,19363
GLOBAL,4,1,-0.4250172657158588,North America,3,36189
GLOBAL,4,1,-0.32422082714937517,North America,3,395210
GLOBAL,4,1,-0.4250172657158588,North America,3,33286
GLOBAL,4,1,-0.4250172657158588,North America,3,394701
GLOBAL,4,1,-0.3089909753449263,North America,3,6618
GLOBAL,4,1,-0.4250172657158588,North America,3,36603
GLOBAL,4,1,-0.3411509686774679,North America,3,40110
GLOBAL,4,1,-0.4250172657158588,North America,3,16994
GLOBAL,4,1,-0.4250172657158588,North America,3,23542
GLOBAL,4,1,-0.4250172657158588,North America,3,397619
GLOBAL,4,1,-0.40787499611482614,North America,3,393475
GLOBAL,4,1,-0.4250172657158588,North America,3,25990
GLOBAL,4,1,-0.4250172657158588,North America,3,394702
GLOBAL,4,1,-0.4250172657158588,North America,3,19095
GLOBAL,4,1,-0.4250172657158588,North America,3,395380
GLOBAL,4,1,-0.3290767637532241,,4,11974
GLOBAL,4,1,-0.3411509686774679,North America,3,398667
GLOBAL,4,1,-0.4250172657158588,North America,3,32892
GLOBAL,4,1,-0.4250172657158588,North America,3,11208
GLOBAL,4,1,-0.4250172657158588,North America,3,11219
GLOBAL,4,1,-0.4250172657158588,North America,3,15077
GLOBAL,4,1,-0.32422082714937517,North America,3,36835
GLOBAL,4,1,-0.3347581967505752,North America,3,393327
GLOBAL,4,1,-0.4250172657158588,North America,3,53806
GLOBAL,4,1,-0.4250172657158588,North America,3,23120
GLOBAL,4,1,-0.4250172657158588,North America,3,397926
GLOBAL,4,1,-0.4250172657158588,North America,3,36721
GLOBAL,4,1,-0.41294306079160153,,4,53614
GLOBAL,4,1,-0.4250172657158588,North America,3,32375
GLOBAL,4,1,-0.4250172657158588,North America,3,395757
GLOBAL,4,1,-0.4250172657158588,North America,3,19932
GLOBAL,4,1,-0.4250172657158588,North America,3,39989
GLOBAL,4,1,-0.4250172657158588,North America,3,395992
GLOBAL,4,1,-0.4250172657158588,North America,3,397977
GLOBAL,4,1,-0.4250172657158588,North America,3,20181
GLOBAL,4,1,-0.4250172657158588,North America,3,20072
GLOBAL,4,1,-0.32422082714937517,North America,3,25632
GLOBAL,4,1,-0.4250172657158588,North America,3,62553
GLOBAL,4,1,-0.4250172657158588,North America,3,395234
GLOBAL,4,1,-0.4250172657158588,North America,3,395742
GLOBAL,4,1,-0.4250172657158588,North America,3,46827
GLOBAL,4,1,-0.3411509686774679,North America,3,55196
GLOBAL,4,1,-0.4250172657158588,North America,3,14623
GLOBAL,4,1,-0.4250172657158588,North America,3,46899
GLOBAL,4,1,-0.3945408315109789,North America,3,63159
GLOBAL,4,1,-0.32400869907644864,North America,3,14013
GLOBAL,4,1,-0.4283873273962012,North America,3,397372
GLOBAL,4,1,-0.16286645620577958,North America,3,53758
GLOBAL,4,1,-0.24202338273743795,North America,3,398987
GLOBAL,4,1,-0.4283873273962012,North America,3,397181
GLOBAL,4,1,-0.4250172657158588,North America,3,19841
GLOBAL,4,1,-0.4250172657158588,North America,3,394952
GLOBAL,4,1,-0.16623651788610863,North America,3,32864
GLOBAL,4,1,-0.1995414852862059,North America,3,36710
GLOBAL,4,1,-0.44048290990655475,North America,3,397566
GLOBAL,4,1,-0.3411509686774679,North America,3,393453
GLOBAL,4,1,-0.147493491044433,North America,3,397460
GLOBAL,4,1,-0.4250172657158588,North America,3,396935
GLOBAL,4,1,-0.12381609268607094,North America,3,396855
GLOBAL,4,1,-0.43184368014919805,North America,3,397636
GLOBAL,4,1,-0.594738428247544,North America,3,29768
GLOBAL,4,1,-0.4250172657158588,North America,3,14727
GLOBAL,4,1,-0.3938054114295481,North America,3,397945
GLOBAL,4,1,-0.19682027102561725,North America,3,31807
GLOBAL,4,1,-0.14980616701583707,North America,3,395470
GLOBAL,4,1,-0.17984373056303585,North America,3,398223
GLOBAL,4,1,-0.22344509073619614,North America,3,36584
GLOBAL,4,1,-0.1897852091394056,North America,3,54506
GLOBAL,4,1,-0.08531475854411921,Europe,1,57257
GLOBAL,4,1,-0.4250172657158588,North America,3,398280
GLOBAL,4,1,-0.594738428247544,North America,3,398358
GLOBAL,4,1,-0.13098172368039232,North America,3,62538
GLOBAL,4,1,-0.0885979640451738,North America,3,397131
GLOBAL,4,1,-0.10140181122157785,North America,3,398447
GLOBAL,4,1,-0.4250172657158588,North America,3,22751
GLOBAL,4,1,-0.32422082714937517,North America,3,14665
GLOBAL,4,1,-0.3218266874087834,North America,3,398698
GLOBAL,4,1,-0.16215833233107887,North America,3,398717
GLOBAL,4,1,-0.4733713609710292,North America,3,26272
GLOBAL,4,1,-0.4250172657158588,North America,3,40531
GLOBAL,4,1,-0.12712587837646502,North America,3,398930
GLOBAL,4,1,-0.4283873273962012,North America,3,398898
GLOBAL,4,1,-0.526210241632914,North America,3,394119
GLOBAL,4,1,-0.5928253977162633,North America,3,396313
GLOBAL,4,1,-0.4250172657158588,North America,3,395568
GLOBAL,4,1,-0.13418637698102573,North America,3,399242
GLOBAL,4,1,-0.16286645620577958,North America,3,54364
GLOBAL,4,1,-0.49057192800070454,North America,3,399392
GLOBAL,4,1,-0.13792373686860843,North America,3,54316
GLOBAL,4,1,-0.4250172657158588,North America,3,396182
GLOBAL,4,1,-0.4250172657158588,North America,3,53555
GLOBAL,4,1,-0.4250172657158588,North America,3,53749
GLOBAL,4,1,-0.4250172657158588,North America,3,36814
GLOBAL,4,1,-0.41294306079160153,,4,397124
GLOBAL,4,1,-0.4250172657158588,North America,3,393756
GLOBAL,4,1,-0.4250172657158588,North America,3,53993
GLOBAL,4,1,-0.39285727238331714,North America,3,396896
GLOBAL,4,1,-0.4250172657158588,North America,3,395286
GLOBAL,4,1,-0.40783031519911284,Asia,0,55378
GLOBAL,4,1,-0.3218189226175075,Asia,0,135132
GLOBAL,4,1,-0.3907544709230767,Europe,1,2114
GLOBAL,4,1,-0.4218689620164571,Europe,1,211933
GLOBAL,4,1,-0.4025580198695104,Europe,1,56653
GLOBAL,4,1,-0.38977516802408246,Europe,1,61352
GLOBAL,4,1,-0.40545004378110616,Europe,1,209258
GLOBAL,4,1,-0.4070914615095542,Europe,1,57098
GLOBAL,4,1,-0.3232251644711634,Europe,1,208179
GLOBAL,4,1,-0.3210725234499735,Europe,1,204039
GLOBAL,4,1,-0.3907544709230767,Europe,1,209919
GLOBAL,4,1,-0.4047266924154378,Europe,1,197718
GLOBAL,4,1,-0.08990853775751172,Europe,1,197724
GLOBAL,4,1,-0.4047266924154378,Europe,1,197499
GLOBAL,4,1,-0.21184233825551285,Europe,1,57996
GLOBAL,4,1,-0.33656326032799855,Europe,1,212604
GLOBAL,4,1,-0.40691743762508836,Europe,1,34453
GLOBAL,4,1,-0.40691743762508836,Europe,1,59822
GLOBAL,4,1,-0.10661276404174151,Europe,1,56945
GLOBAL,4,1,-0.3039302538489542,Europe,1,197768
GLOBAL,4,1,-0.35291097205785965,Europe,1,56668
GLOBAL,4,1,-0.10626759949838897,Europe,1,56983
GLOBAL,4,1,-0.25207869763041224,Europe,1,60075
GLOBAL,4,1,-0.1106909425477741,Europe,1,49038
GLOBAL,4,1,-0.4218689620164571,Europe,1,48709
GLOBAL,4,1,-0.39452514823745105,Europe,1,202353
GLOBAL,4,1,-0.140062604590244,North America,3,56583
GLOBAL,4,1,-0.12612544870154418,Europe,1,56745
GLOBAL,4,1,-0.40510662214192483,Europe,1,197827
GLOBAL,4,1,-0.410790999930224,Europe,1,198700
GLOBAL,4,1,-0.4218689620164571,Europe,1,44937
GLOBAL,4,1,-0.40693662336182856,Europe,1,201047
GLOBAL,4,1,-0.4292309213463601,Europe,1,47443
GLOBAL,4,1,-0.3062950229430572,Europe,1,34529
GLOBAL,4,1,-0.349853266666875,Europe,1,209749
GLOBAL,4,1,-0.557105571774406,Europe,1,57929
GLOBAL,4,1,-0.11173588194129283,Europe,1,44530
GLOBAL,4,1,-0.40571713179263375,Europe,1,39739
GLOBAL,4,1,-0.24278020407404183,Europe,1,203196
GLOBAL,4,1,-0.2889787294575721,Europe,1,200715
GLOBAL,4,1,-0.4070914615095542,Europe,1,39211
GLOBAL,4,1,-0.25099022262915466,Europe,1,57951
GLOBAL,4,1,-0.11867065355813176,Europe,1,202193
GLOBAL,4,1,-0.5714577229932809,Europe,1,213270
GLOBAL,4,1,-0.4218689620164571,Europe,1,201443
GLOBAL,4,1,-0.4218689620164571,Europe,1,199430
GLOBAL,4,1,-0.28751133561360326,Europe,1,198694
GLOBAL,4,1,-0.4218689620164571,Europe,1,43563
GLOBAL,4,1,-0.4218689620164571,Europe,1,204159
GLOBAL,4,1,-0.4218689620164571,Europe,1,29528
GLOBAL,4,1,-0.3411509686774679,North America,3,29783
GLOBAL,4,1,-0.4250172657158588,North America,3,399288
GLOBAL,4,1,-0.4250172657158588,North America,3,395160
GLOBAL,4,1,-0.4250172657158588,North America,3,395579
GLOBAL,4,1,-0.4250172657158588,North America,3,396063
GLOBAL,4,1,-0.4250172657158588,North America,3,397364
GLOBAL,4,1,-0.32422082714937517,North America,3,397843
GLOBAL,4,1,-0.4250172657158588,North America,3,398269
