,bias,links,comms
56665,-0.14456855185582818,2168.0,102.0
8758,-0.14359722332586422,415.0,14150.0
8426,-0.14348047728662827,1111.0,4.0
39122,-0.14246698342068598,1618.0,0.0
3267,-0.14226546180958755,,
59605,-0.14210001712335885,556.0,0.0
37721,-0.14163098604987878,,
48646,-0.14119778463971278,,
9031,-0.14063622728370806,,
1273,-0.1401736418009003,,
328137,-0.1398960500560098,,
15547,-0.1398949786178827,1234.0,0.0
6762,-0.13879159494986082,42.0,161.0
12637,-0.13791402567708833,931.0,13540.0
34177,-0.13768982363757676,1374.0,0.0
2116,-0.13735005516916088,,
5511,-0.13674586200873584,,
8365,-0.1365813701240226,,
5396,-0.13637620848390153,269.0,0.0
4637,-0.13557627751286105,,
766,-0.13520555467023687,,
15830,-0.13516062247527216,,
35699,-0.13432895855466365,,
51088,-0.13167852729770724,579.0,11718.0
37314,-0.13155338248392878,,
5466,-0.13132328973110008,,
198385,-0.13126692000579032,1037.0,21200.0
48166,-0.1312330498476899,1381.0,943.0
34019,-0.1311588116452156,196.0,88.0
9304,-0.13108655162575866,387.0,0.0
60501,-0.1305698239136066,1132.0,8459.0
13285,-0.13028086382583792,,
12414,-0.12994393121057435,,
16265,-0.12920450417374107,,
44103,-0.12749477637765683,1211.0,22433.0
47787,-0.12722981479376116,,
50304,-0.12716885860156735,152.0,0.0
263237,-0.12674548943316655,1657.0,7520.0
5413,-0.1265989278772195,,
4788,-0.12577703699002685,,
21263,-0.12536500959177133,,
31727,-0.12532292000047018,,
44684,-0.12480947504818207,,
20932,-0.12406417032977402,1349.0,0.0
15562,-0.12388167900250213,1.0,10930.0
35369,-0.12364411598205782,767.0,15564.0
3320,-0.12356809086767617,20.0,12826.0
20562,-0.12327661550954883,,
200612,-0.12316275493535755,761.0,0.0
34347,-0.12191329518648208,,
205112,-0.12140411122723016,598.0,8815.0
13101,-0.12116306021834333,,
52320,-0.1209601162818652,489.0,30.0
18106,-0.12073690311412699,1892.0,370.0
50628,-0.12058455886648778,421.0,13567.0
42708,-0.12018053222832004,,
16030,-0.1195815493571839,,
20495,-0.11955663981556564,,
41722,-0.11759439336963551,726.0,10119.0
8607,-0.11727113280910473,,
6894,-0.11722435990034752,427.0,0.0
13030,-0.11642178899565758,82.0,9689.0
8245,-0.11564416855175397,,
6057,-0.11511133126749229,2177.0,0.0
9505,-0.1149169617952639,,
12859,-0.11364463626132304,967.0,18213.0
50877,-0.1134819932478881,963.0,15305.0
15623,-0.11326032119062246,1094.0,16.0
34872,-0.11321843867133641,931.0,9562.0
4775,-0.11255283789477488,,
37239,-0.11248757649390262,1714.0,11.0
49605,-0.11216633088997341,1362.0,11515.0
5602,-0.11202538118342265,277.0,7.0
48362,-0.11170999439195084,69.0,15075.0
60924,-0.11154866617262282,110.0,9.0
49697,-0.11143562643056715,1182.0,25689.0
20912,-0.11120453239670258,365.0,3675.0
28329,-0.11039767237757125,,
52863,-0.10917370964341755,1692.0,0.0
16735,-0.10761272365193975,84.0,1567.0
2856,-0.10749403440111216,,
6830,-0.10736714676158332,21.0,14486.0
4134,-0.10666520652120592,,
8674,-0.10479659277737863,,
25933,-0.10444877563570154,,
36924,-0.10434097770707362,630.0,24121.0
28186,-0.10261381574898643,2612.0,0.0
35313,-0.1023334835687062,,
42541,-0.1016182762416884,1467.0,21246.0
31424,-0.1011948137217833,,
35228,-0.09980716439161874,,
57695,-0.09972123424851764,3252.0,29688.0
24482,-0.09934322223440484,2860.0,26694.0
200020,-0.09919187184260769,,
14840,-0.09899408254500086,,
9658,-0.09858665790561938,,
34245,-0.09835573009761012,,
29222,-0.09734315151614936,241.0,22301.0
17639,-0.09703344426486016,1438.0,0.0
24953,-0.09690877881209925,,
41157,-0.09483409810419063,440.0,8644.0
267613,-0.09423155772633196,2300.0,297.0
2018,-0.09344106303682542,,
29691,-0.0926603355905331,174.0,0.0
8319,-0.09263390276866845,,
48237,-0.09129750284101457,192.0,0.0
38001,-0.09065362244212727,567.0,33.0
1299,-0.09051668841046911,4.0,0.0
5524,-0.08941757252651783,,
21473,-0.0881553764317311,,
52873,-0.08806750941613428,1578.0,5921.0
24753,-0.08740555195699828,,
39591,-0.08630378614120637,,
35600,-0.08617539338064972,,
45896,-0.08600508335564472,,
8470,-0.08520900985641289,,
3170,-0.0841694400682158,512.0,17927.0
1853,-0.08391746106504172,,
203201,-0.08353425590562624,,
15605,-0.0833385847487933,1477.0,26047.0
137409,-0.0827123912636285,,
32653,-0.08190050930095838,,
61573,-0.08125682432275072,2131.0,20248.0
2516,-0.07965902689892612,,
2497,-0.07960427520238289,104.0,0.0
22822,-0.07709356572623838,,
37680,-0.0765901659141699,,
19151,-0.07616802754372154,479.0,0.0
136168,-0.07584791690558035,,
8851,-0.07523654129180102,,
12350,-0.07467277575005093,260.0,0.0
3214,-0.07322122767989825,1445.0,27594.0
201333,-0.07294304723440836,261.0,2924.0
23106,-0.07262144156348072,1779.0,5151.0
9930,-0.07234727494258575,,
15703,-0.07220431827881235,,
5503,-0.07126366380783011,,
18403,-0.07098526122485405,,
9264,-0.06990869602565564,,
61595,-0.06837994671889946,1765.0,5976.0
7575,-0.0683767721677997,495.0,482.0
25220,-0.06826949617584344,1131.0,27456.0
13786,-0.06788431299552533,2068.0,1473.0
21859,-0.06651204598872029,,
58952,-0.06613131506159053,,
29838,-0.0640632670145247,,
6881,-0.06356859890732647,1108.0,0.0
51184,-0.06303423275936249,1371.0,26456.0
49673,-0.06224782721235833,1644.0,23305.0
10310,-0.062051326139844765,,
8763,-0.061874450704979544,,
8075,-0.06048660060875566,,
49375,-0.059822510027129905,,
29140,-0.059697845670914074,2743.0,15473.0
28634,-0.059108609328839545,,
59414,-0.058233093102466604,205.0,11812.0
60169,-0.058086470303397864,,
25061,-0.0577449142443176,,
29357,-0.05571286684014076,,
13335,-0.055491108152649904,,
6866,-0.055056868315039864,,
47441,-0.05457647546948108,1922.0,11192.0
15435,-0.05394688714600582,605.0,0.0
513,-0.05321222310380458,177.0,21119.0
1828,-0.0531107370979611,5488.0,160.0
