ASN,Location bias,Network size bias,Topology bias,IXP related bias,Network type bias,RIR region,Customer cone (#ASNs),Customer cone (#prefixes),Location (country),#neighbors (total),Scope (PeeringDB),Network type (PeeringDB),Peering policy (PeeringDB),#IXPs (PeeringDB),#facilities (PeeringDB),is_in_peeringDB,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer
1,-0.13,0.02,0.08,0.0,-0.01,ARIN,5.0,143.0,US,17.0,,,,,,0.0,,,
2,-0.13,0.06,0.04,0.0,-0.01,ARIN,9.0,458.0,US,23.0,,,,,,0.0,,,
5,-0.13,-0.18,-0.03,0.0,-0.01,ARIN,2.0,3.0,US,5.0,,,,,,0.0,,,
6,-0.13,0.01,-0.03,-0.19,-0.28,ARIN,1.0,32.0,US,4.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
7,0.05,0.01,-0.12,-0.19,-0.28,RIPE,1.0,17.0,EU,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
8,-0.13,0.06,-0.01,-0.19,-0.28,ARIN,3.0,54.0,US,6.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
9,-0.13,0.05,0.01,-0.19,-0.28,ARIN,3.0,62.0,US,11.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
10,-0.13,-0.05,0.0,0.0,-0.01,ARIN,2.0,7.0,US,6.0,,,,,,0.0,,,
131074,-0.03,-0.12,-0.07,0.0,-0.01,APNIC,2.0,1.0,AU,2.0,,,,,,0.0,,,
12,-0.13,0.05,0.0,0.0,-0.01,ARIN,3.0,19.0,US,7.0,,,,,,0.0,,,
131079,-0.03,-0.18,-0.04,0.2,0.05,APNIC,1.0,1.0,JP,3.0,Regional,NSP,Restrictive,3.0,0.0,1.0,,,
14,-0.13,-0.01,-0.03,-0.19,-0.28,ARIN,1.0,11.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262150,-0.25,0.05,-0.03,0.1,-0.14,LACNIC,14.0,100.0,AR,15.0,South America,Cable/DSL/ISP,Selective,1.0,0.0,1.0,,,
18,-0.13,-0.0,-0.09,0.0,-0.01,ARIN,1.0,8.0,US,3.0,,,,,,0.0,,,
19,-0.13,0.01,-0.03,-0.19,-0.28,ARIN,1.0,15.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
20,-0.13,-0.01,0.0,-0.19,-0.28,ARIN,2.0,5.0,US,7.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
21,-0.13,-0.05,0.0,-0.12,-0.28,ARIN,1.0,12.0,US,6.0,Not Disclosed,Not Disclosed,,0.0,0.0,1.0,,,
131089,-0.07,-0.18,-0.07,0.0,-0.01,APNIC,1.0,1.0,TH,1.0,,,,,,0.0,,,
24,-0.13,-0.01,-0.04,0.0,-0.01,ARIN,2.0,4.0,US,8.0,,,,,,0.0,,,
131091,-0.06,-0.05,0.03,0.1,0.07,APNIC,2.0,13.0,HK,18.0,Asia Pacific,NSP,Selective,1.0,0.0,1.0,,,
26,-0.13,-0.01,-0.03,0.19,-0.07,ARIN,1.0,6.0,US,4.0,Regional,Educational/Research,Selective,0.0,3.0,1.0,,,
131093,-0.16,-0.14,-0.12,0.0,-0.01,APNIC,1.0,3.0,KR,2.0,,,,,,0.0,,,
131094,-0.16,-0.05,-0.03,0.0,-0.01,APNIC,1.0,4.0,KR,3.0,,,,,,0.0,,,
29,-0.13,-0.01,-0.01,0.0,-0.01,ARIN,1.0,5.0,US,5.0,,,,,,0.0,,,
131095,-0.16,-0.09,-0.12,0.0,-0.01,APNIC,1.0,3.0,KR,2.0,,,,,,0.0,,,
31,-0.13,-0.01,-0.03,0.0,-0.01,ARIN,1.0,9.0,US,4.0,,,,,,0.0,,,
33,-0.13,0.05,-0.04,-0.19,-0.28,ARIN,3.0,41.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
34,-0.13,-0.01,-0.03,0.0,-0.01,ARIN,2.0,10.0,US,5.0,,,,,,0.0,,,
35,-0.13,0.01,-0.07,-0.19,-0.28,ARIN,2.0,14.0,US,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262171,-0.14,-0.05,-0.03,0.0,-0.01,LACNIC,1.0,6.0,CR,4.0,,,,,,0.0,,,
262174,-0.25,-0.09,-0.12,0.1,-0.13,LACNIC,1.0,3.0,AR,2.0,South America,Content,Selective,0.0,0.0,1.0,,,
38,-0.13,-0.01,-0.12,0.0,-0.01,ARIN,1.0,12.0,US,2.0,,,,,,0.0,,,
262176,-0.23,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,1.0,VE,2.0,,,,,,0.0,,,
42,-0.13,0.06,0.1,0.07,0.02,ARIN,11.0,241.0,US,341.0,Global,Educational/Research,Open,223.0,51.0,1.0,1.0,,
262179,-0.25,-0.05,-0.09,-0.19,-0.28,LACNIC,2.0,10.0,SV,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262181,-0.08,0.0,-0.03,-0.12,-0.2,LACNIC,2.0,40.0,SX,4.0,Not Disclosed,Not Disclosed,Open,2.0,0.0,1.0,,,
262182,-0.23,0.07,-0.03,0.0,-0.01,LACNIC,13.0,3705.0,PE,16.0,,,,,,0.0,,,
46,-0.13,0.01,0.02,0.3,0.07,ARIN,2.0,20.0,US,8.0,Regional,Educational/Research,Selective,4.0,2.0,1.0,,,
47,-0.13,0.01,-0.01,0.0,-0.01,ARIN,1.0,18.0,US,5.0,,,,,,0.0,,,
262183,-0.24,-0.05,-0.12,0.0,-0.01,LACNIC,1.0,5.0,PY,2.0,,,,,,0.0,,,
49,-0.13,0.01,-0.12,-0.19,-0.28,ARIN,1.0,16.0,US,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
50,-0.13,-0.01,-0.12,-0.19,-0.28,ARIN,1.0,12.0,US,2.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
131122,-0.1,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,VN,2.0,,,,,,0.0,,,
131123,-0.1,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,VN,2.0,,,,,,0.0,,,
131125,-0.1,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,VN,2.0,,,,,,0.0,,,
131126,-0.1,-0.05,-0.12,0.0,-0.01,APNIC,1.0,5.0,VN,2.0,,,,,,0.0,,,
131127,-0.1,0.04,0.02,0.0,-0.01,APNIC,4.0,42.0,VN,7.0,,,,,,0.0,,,
131128,-0.1,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,VN,2.0,,,,,,0.0,,,
131129,-0.1,-0.18,-0.03,0.0,-0.01,APNIC,1.0,2.0,VN,3.0,,,,,,0.0,,,
62,-0.13,0.07,0.07,0.02,0.03,ARIN,109.0,1826.0,US,119.0,North America,NSP,Open,5.0,10.0,1.0,,,
63,-0.13,-0.01,-0.03,-0.19,-0.28,ARIN,1.0,6.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
131130,-0.1,-0.18,-0.12,0.0,-0.01,APNIC,1.0,3.0,VN,2.0,,,,,,0.0,,,
65,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,
262201,-0.25,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,1.0,AR,2.0,,,,,,0.0,,,
262202,-0.14,0.05,-0.04,-0.19,-0.04,LACNIC,6.0,197.0,CR,7.0,Global,Network Services,Open,0.0,0.0,1.0,,,
262204,-0.25,-0.05,-0.12,0.0,-0.01,LACNIC,1.0,8.0,SV,2.0,,,,,,0.0,,,
262205,-0.14,-0.18,-0.07,0.0,-0.01,LACNIC,1.0,1.0,HN,1.0,,,,,,0.0,,,
70,-0.13,0.02,-0.03,-0.19,-0.28,ARIN,1.0,61.0,US,4.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
71,-0.13,0.06,-0.01,-0.19,-0.28,ARIN,6.0,126.0,US,5.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
72,-0.13,0.02,0.03,0.21,-0.15,ARIN,1.0,112.0,US,25.0,Global,Enterprise,Selective,3.0,0.0,1.0,,,
131143,-0.03,-0.04,-0.12,0.0,-0.01,APNIC,1.0,17.0,TW,2.0,,,,,,0.0,,,
131144,-0.03,-0.09,-0.12,0.0,-0.01,APNIC,1.0,1.0,TW,2.0,,,,,,0.0,,,
262210,-0.23,0.05,0.0,-0.19,-0.13,LACNIC,3.0,94.0,PE,8.0,South America,,Open,0.0,1.0,1.0,,,
262213,-0.24,-0.01,-0.12,-0.19,-0.14,LACNIC,1.0,6.0,CL,2.0,South America,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
77,-0.13,-0.01,0.03,0.1,-0.21,ARIN,1.0,4.0,US,20.0,Not Disclosed,Enterprise,Selective,1.0,1.0,1.0,,,
131149,-0.03,0.0,-0.01,-0.12,-0.01,APNIC,1.0,16.0,TW,6.0,,Enterprise,Open,2.0,0.0,1.0,,,
262214,-0.24,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,3.0,CO,2.0,,,,,,0.0,,,
262215,-0.24,0.0,-0.07,-0.1,-0.16,LACNIC,2.0,44.0,CO,2.0,South America,Cable/DSL/ISP,Open,1.0,2.0,1.0,,,
81,-0.13,0.07,0.06,-0.19,0.07,ARIN,33.0,260.0,US,39.0,Regional,Educational/Research,Open,0.0,0.0,1.0,,,
262217,-0.14,-0.61,-0.12,0.0,-0.01,LACNIC,1.0,0.0,CR,2.0,,,,,,0.0,,,
262218,-0.14,-0.05,-0.01,-0.19,-0.44,LACNIC,2.0,12.0,PA,6.0,South America,Not Disclosed,Open,1.0,1.0,1.0,,,
262220,-0.24,0.0,-0.03,0.0,-0.01,LACNIC,1.0,19.0,CO,3.0,,,,,,0.0,,,
85,-0.13,0.01,-0.12,0.0,-0.01,ARIN,1.0,17.0,US,2.0,,,,,,0.0,,,
131158,-0.03,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,JP,2.0,,,,,,0.0,,,
262224,-0.24,-0.18,-0.07,0.0,-0.01,LACNIC,1.0,1.0,CL,1.0,,,,,,0.0,,,
88,-0.13,-0.01,-0.03,-0.12,-0.28,ARIN,1.0,10.0,US,3.0,Not Disclosed,Not Disclosed,,0.0,0.0,1.0,,,
131160,-0.03,-0.09,-0.04,0.1,0.02,APNIC,1.0,1.0,JP,6.0,Asia Pacific,NSP,Selective,1.0,1.0,1.0,,,
262228,-0.24,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,2.0,CL,2.0,,,,,,0.0,,,
91,-0.13,-0.01,-0.03,0.0,-0.01,ARIN,1.0,7.0,US,3.0,,,,,,0.0,,,
92,-0.13,-0.01,-0.03,-0.23,-0.0,ARIN,1.0,4.0,US,4.0,Regional,Educational/Research,No,0.0,0.0,1.0,,,
262229,-0.25,0.0,-0.12,0.1,-0.19,LACNIC,1.0,22.0,AR,2.0,South America,Cable/DSL/ISP,Selective,1.0,1.0,1.0,,,
262230,-0.25,-0.05,-0.12,-0.19,-0.21,LACNIC,1.0,4.0,AR,2.0,South America,Cable/DSL/ISP,Open,1.0,1.0,1.0,,,
131167,-0.05,-0.18,-0.03,0.0,-0.01,APNIC,1.0,3.0,MM,4.0,,,,,,0.0,,,
262231,-0.25,0.0,-0.03,-0.19,-0.28,LACNIC,1.0,38.0,AR,4.0,Not Disclosed,Not Disclosed,Open,1.0,1.0,1.0,,,
97,-0.13,-0.18,-0.03,0.0,-0.01,ARIN,1.0,2.0,US,3.0,,,,,,0.0,,,
98,-0.13,-0.04,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,
131169,-0.07,-0.05,-0.03,0.0,-0.01,APNIC,1.0,8.0,IN,3.0,,,,,,0.0,,,
100,-0.13,-0.05,0.01,-0.19,-0.28,ARIN,1.0,4.0,US,8.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
101,-0.13,0.07,0.1,0.02,0.12,ARIN,43.0,312.0,US,55.0,Regional,Educational/Research,Open,6.0,3.0,1.0,,,1.0
131170,-0.07,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,IN,2.0,,,,,,0.0,,,
103,-0.13,0.01,0.0,-0.19,-0.28,ARIN,1.0,22.0,US,7.0,Not Disclosed,Not Disclosed,Open,0.0,1.0,1.0,,,
262241,-0.14,0.0,-0.12,-0.19,-0.2,LACNIC,1.0,23.0,CR,2.0,North America,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
131178,-0.07,0.01,-0.04,-0.19,0.02,APNIC,2.0,152.0,KH,4.0,Asia Pacific,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
262247,-0.13,-0.18,-0.03,0.0,-0.01,LACNIC,1.0,2.0,DO,3.0,,,,,,0.0,,,
262248,-0.14,0.04,0.03,0.1,-0.1,LACNIC,7.0,30.0,PA,9.0,Not Disclosed,Cable/DSL/ISP,Selective,1.0,0.0,1.0,,,
109,-0.13,0.02,0.03,0.35,-0.01,ARIN,1.0,88.0,US,22.0,Global,Enterprise,Selective,8.0,16.0,1.0,,,
131181,-0.07,-0.09,-0.12,0.0,-0.01,APNIC,1.0,3.0,IN,2.0,,,,,,0.0,,,
112,-0.13,-0.18,0.06,0.02,0.08,ARIN,1.0,2.0,US,90.0,Global,Non-Profit,Open,76.0,3.0,1.0,,,
131183,-0.25,-0.05,-0.12,0.0,-0.01,APNIC,1.0,4.0,BD,2.0,,,,,,0.0,,,
262249,-0.25,-0.05,-0.09,-0.19,-0.28,LACNIC,1.0,7.0,AR,4.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262250,-0.24,-0.18,-0.07,0.0,-0.01,LACNIC,1.0,1.0,PY,1.0,,,,,,0.0,,,
131188,-0.06,-0.05,-0.03,0.0,-0.01,APNIC,1.0,8.0,HK,3.0,,,,,,0.0,,,
131189,-0.06,-0.09,-0.03,0.0,-0.01,APNIC,1.0,2.0,HK,4.0,,,,,,0.0,,,
131190,-0.07,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,IN,2.0,,,,,,0.0,,,
262254,-0.13,0.0,-0.03,0.0,-0.01,LACNIC,1.0,33.0,BZ,3.0,,,,,,0.0,,,
262255,-0.14,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,1.0,PA,2.0,,,,,,0.0,,,
262256,-0.24,0.0,-0.03,0.1,-0.13,LACNIC,1.0,20.0,CL,3.0,South America,Content,Selective,1.0,0.0,1.0,,,
122,-0.13,-0.0,-0.01,0.1,-0.23,ARIN,1.0,11.0,US,6.0,Regional,Enterprise,Selective,1.0,0.0,1.0,,,
131195,-0.04,-0.05,-0.03,0.0,-0.01,APNIC,1.0,4.0,SG,3.0,,,,,,0.0,,,
131196,-0.01,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,NZ,2.0,,,,,,0.0,,,
125,-0.13,0.0,-0.03,-0.19,-0.28,ARIN,1.0,22.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262262,-0.14,0.0,-0.07,-0.19,-0.15,LACNIC,2.0,24.0,HN,2.0,Global,Cable/DSL/ISP,Open,0.0,0.0,1.0,,,
127,-0.13,0.01,-0.03,0.0,-0.01,ARIN,1.0,37.0,US,3.0,,,,,,0.0,,,
262265,-0.25,-0.18,-0.07,0.0,-0.01,LACNIC,1.0,1.0,AR,2.0,,,,,,0.0,,,
262266,-0.25,-0.18,-0.07,-0.1,-0.08,LACNIC,1.0,2.0,AR,2.0,Regional,Educational/Research,Open,1.0,2.0,1.0,,,
131202,-0.01,-0.18,-0.12,0.0,-0.01,APNIC,1.0,2.0,NZ,2.0,,,,,,0.0,,,
131,-0.13,-0.01,-0.12,0.0,-0.01,ARIN,1.0,6.0,US,2.0,,,,,,0.0,,,
262268,-0.46,-0.05,-0.02,-0.12,-0.13,LACNIC,1.0,13.0,BR,80.0,South America,Cable/DSL/ISP,Open,2.0,0.0,1.0,,,
262269,-0.46,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,1.0,BR,2.0,,,,,,0.0,,,
262273,-0.46,-0.05,-0.03,0.0,-0.01,LACNIC,2.0,11.0,BR,4.0,,,,,,0.0,,,
131207,-0.07,0.04,-0.04,-0.19,-0.18,APNIC,4.0,82.0,KH,6.0,Not Disclosed,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
262274,-0.46,0.02,0.0,0.18,0.01,LACNIC,4.0,29.0,BR,6.0,Regional,Cable/DSL/ISP,Selective,2.0,0.0,1.0,,,
262276,-0.46,-0.18,-0.07,0.0,-0.01,LACNIC,1.0,1.0,BR,2.0,,,,,,0.0,,,
140,-0.13,-0.05,-0.12,0.0,-0.01,ARIN,1.0,5.0,US,2.0,,,,,,0.0,,,
262277,-0.46,-0.05,-0.12,0.0,-0.01,LACNIC,1.0,9.0,BR,2.0,,,,,,0.0,,,
131214,-0.03,-0.05,-0.09,0.0,-0.01,APNIC,2.0,7.0,AU,3.0,,,,,,0.0,,,
131215,-0.07,0.0,-0.09,-0.19,-0.08,APNIC,2.0,33.0,IN,3.0,Asia Pacific,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
131216,-0.25,-0.09,-0.03,0.0,-0.01,APNIC,1.0,3.0,BD,3.0,,,,,,0.0,,,
262280,-0.46,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,1.0,BR,2.0,,,,,,0.0,,,
131218,-0.07,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,IN,2.0,,,,,,0.0,,,
131219,-0.04,0.06,0.07,-0.19,-0.28,APNIC,33.0,773.0,SG,34.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262283,-0.46,-0.04,-0.04,0.0,-0.01,LACNIC,1.0,19.0,BR,7.0,,,,,,0.0,,,
149,-0.13,-0.01,-0.09,0.0,-0.01,ARIN,1.0,7.0,US,3.0,,,,,,0.0,,,
262286,-0.46,0.05,0.0,-0.12,0.03,LACNIC,15.0,125.0,BR,23.0,Regional,Cable/DSL/ISP,Open,2.0,0.0,1.0,,,
262287,-0.46,0.07,0.1,0.02,0.13,LACNIC,38.0,2205.0,BR,72.0,Global,Content,Open,3.0,9.0,1.0,,,
131224,-0.06,-0.18,-0.12,0.0,-0.01,APNIC,1.0,2.0,HK,2.0,,,,,,0.0,,,
131225,-0.03,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,AU,2.0,,,,,,0.0,,,
262290,-0.46,-0.04,-0.04,0.0,-0.01,LACNIC,1.0,16.0,BR,10.0,,,,,,0.0,,,
131227,-0.01,-0.05,-0.04,-0.19,-0.18,APNIC,1.0,8.0,NZ,3.0,Not Disclosed,Cable/DSL/ISP,Open,1.0,1.0,1.0,,,
156,-0.13,0.01,-0.03,0.0,-0.01,ARIN,2.0,20.0,US,4.0,,,,,,0.0,,,
262292,-0.46,-0.04,-0.03,0.0,-0.01,LACNIC,1.0,16.0,BR,3.0,,,,,,0.0,,,
159,-0.13,-0.01,-0.12,0.0,-0.01,ARIN,1.0,7.0,US,2.0,,,,,,0.0,,,
160,-0.13,-0.01,0.02,-0.1,0.03,ARIN,1.0,5.0,US,9.0,North America,Educational/Research,Open,0.0,2.0,1.0,,,
161,-0.13,-0.04,-0.09,0.0,-0.01,ARIN,2.0,19.0,US,3.0,,,,,,0.0,,,
262297,-0.46,-0.18,-0.03,0.0,-0.01,LACNIC,1.0,1.0,BR,3.0,,,,,,0.0,,,
131235,-0.07,-0.04,0.01,0.0,-0.01,APNIC,1.0,15.0,IN,7.0,,,,,,0.0,,,
262299,-0.46,-0.04,-0.03,-0.19,-0.16,LACNIC,1.0,16.0,BR,4.0,South America,Cable/DSL/ISP,Open,0.0,0.0,1.0,,,
262300,-0.46,0.04,-0.0,-0.09,-0.17,LACNIC,7.0,36.0,BR,17.0,South America,Cable/DSL/ISP,Open,3.0,0.0,1.0,,,
166,-0.13,-0.01,-0.12,0.0,-0.01,ARIN,1.0,13.0,US,2.0,,,,,,0.0,,,
167,-0.13,-0.04,-0.12,0.0,-0.01,ARIN,1.0,3.0,US,2.0,,,,,,0.0,,,
131239,-0.01,-0.05,-0.12,0.0,-0.01,APNIC,1.0,9.0,NZ,2.0,,,,,,0.0,,,
262304,-0.46,-0.09,-0.03,-0.19,-0.28,LACNIC,1.0,2.0,BR,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
131242,-0.25,-0.18,-0.12,-0.19,-0.16,APNIC,1.0,2.0,BD,2.0,Asia Pacific,Cable/DSL/ISP,Open,0.0,0.0,1.0,,,
262306,-0.46,-0.05,-0.04,-0.19,-0.02,LACNIC,1.0,7.0,BR,9.0,Regional,Cable/DSL/ISP,Open,1.0,0.0,1.0,,,
131244,-0.04,-0.18,-0.03,0.0,-0.01,APNIC,1.0,2.0,SG,4.0,,,,,,0.0,,,
173,-0.03,-0.01,-0.04,-0.19,0.05,APNIC,2.0,7.0,JP,6.0,Regional,Educational/Research,Open,1.0,0.0,1.0,,,
262311,-0.46,-0.04,-0.03,0.02,0.01,LACNIC,1.0,15.0,BR,16.0,Regional,Cable/DSL/ISP,Open,4.0,5.0,1.0,,,
262312,-0.46,-0.05,-0.03,0.0,-0.01,LACNIC,1.0,4.0,BR,3.0,,,,,,0.0,,,
262313,-0.46,-0.04,-0.04,-0.19,-0.23,LACNIC,1.0,15.0,BR,10.0,Not Disclosed,Cable/DSL/ISP,Open,0.0,0.0,1.0,,,
262314,-0.46,-0.04,0.04,-0.19,-0.28,LACNIC,2.0,17.0,BR,11.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262315,-0.46,-0.05,-0.12,0.0,-0.01,LACNIC,1.0,6.0,BR,2.0,,,,,,0.0,,,
262316,-0.46,0.02,0.02,0.31,-0.05,LACNIC,2.0,515.0,BR,13.0,South America,NSP,Selective,5.0,6.0,1.0,,,
131253,-0.05,-0.18,-0.03,0.0,-0.01,APNIC,1.0,1.0,PH,4.0,,,,,,0.0,,,
262317,-0.46,0.05,0.06,-0.19,-0.21,LACNIC,12.0,113.0,BR,22.0,South America,Cable/DSL/ISP,Open,1.0,1.0,1.0,,,
131255,-0.07,-0.09,-0.03,0.0,-0.01,APNIC,1.0,3.0,IN,3.0,,,,,,0.0,,,
131256,-0.07,-0.05,-0.12,0.0,-0.01,APNIC,1.0,5.0,IN,2.0,,,,,,0.0,,,
131257,-0.07,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,TH,2.0,,,,,,0.0,,,
186,-0.13,-0.04,-0.12,0.0,-0.01,ARIN,1.0,1.0,US,2.0,,,,,,0.0,,,
131259,-0.04,0.0,-0.12,-0.19,-0.19,APNIC,1.0,20.0,SG,2.0,Asia Pacific,Not Disclosed,Open,0.0,0.0,1.0,,,
188,-0.13,0.01,-0.03,-0.19,-0.28,ARIN,1.0,34.0,US,3.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262324,-0.46,0.04,-0.04,-0.19,-0.14,LACNIC,4.0,18.0,BR,3.0,Not Disclosed,NSP,Open,0.0,0.0,1.0,,,
131262,-0.07,-0.05,-0.03,0.0,-0.01,APNIC,2.0,11.0,IN,4.0,,,,,,0.0,,,
262327,-0.46,-0.04,-0.12,-0.19,-0.02,LACNIC,1.0,26.0,BR,2.0,Regional,Cable/DSL/ISP,Open,0.0,0.0,1.0,,,
131264,-0.03,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,AU,2.0,,,,,,0.0,,,
131265,-0.07,-0.05,-0.03,-0.19,-0.07,APNIC,1.0,9.0,IN,4.0,Regional,Enterprise,Open,0.0,0.0,1.0,,,
262331,-0.46,-0.18,-0.12,0.0,-0.01,LACNIC,1.0,1.0,BR,2.0,,,,,,0.0,,,
131267,-0.04,0.05,0.03,-0.19,-0.01,APNIC,3.0,188.0,LA,27.0,Asia Pacific,Cable/DSL/ISP,Open,1.0,1.0,1.0,,,
131268,-0.03,-0.09,-0.07,0.0,-0.01,APNIC,1.0,3.0,AU,1.0,,,,,,0.0,,,
131270,-0.03,0.01,0.03,0.27,-0.03,APNIC,2.0,177.0,AU,19.0,Australia,NSP,Selective,2.0,3.0,1.0,,,
262336,-0.46,0.0,-0.04,0.1,-0.02,LACNIC,1.0,20.0,BR,12.0,Global,Cable/DSL/ISP,Selective,0.0,1.0,1.0,,,
131273,-0.03,0.05,0.06,-0.19,-0.28,APNIC,8.0,526.0,TW,14.0,Not Disclosed,Not Disclosed,Open,1.0,0.0,1.0,,,
202,-0.13,0.07,0.03,0.0,-0.01,ARIN,132.0,2587.0,US,121.0,,,,,,0.0,,,
131274,-0.06,0.02,0.05,0.1,0.07,APNIC,3.0,24.0,HK,23.0,Asia Pacific,NSP,Selective,1.0,0.0,1.0,,,
131276,-0.05,-0.05,-0.12,0.0,-0.01,APNIC,1.0,4.0,PH,2.0,,,,,,0.0,,,
262342,-0.46,0.05,0.07,-0.19,-0.04,LACNIC,25.0,150.0,BR,33.0,Regional,NSP,Open,1.0,0.0,1.0,,,
206,-0.13,0.05,0.0,0.0,-0.01,ARIN,3.0,67.0,US,7.0,,,,,,0.0,,,
131279,-0.03,-0.05,-0.12,0.0,-0.01,APNIC,1.0,4.0,KP,2.0,,,,,,0.0,,,
262343,-0.46,0.04,0.06,0.27,-0.02,LACNIC,4.0,74.0,BR,19.0,Regional,Cable/DSL/ISP,Selective,2.0,2.0,1.0,,,
210,-0.13,0.06,0.08,-0.12,0.12,ARIN,8.0,74.0,US,16.0,North America,Educational/Research,Open,2.0,0.0,1.0,,,
131281,-0.05,-0.18,-0.12,0.0,-0.01,APNIC,1.0,1.0,PH,2.0,,,,,,0.0,,,
131284,-0.15,0.05,0.03,-0.19,-0.28,APNIC,21.0,174.0,AF,21.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
262349,-0.46,-0.05,-0.07,0.0,-0.01,LACNIC,1.0,5.0,BR,1.0,,,,,,0.0,,,
262351,-0.46,-0.05,-0.12,0.0,-0.01,LACNIC,1.0,5.0,BR,2.0,,,,,,0.0,,,
262352,-0.46,0.05,0.06,0.21,-0.13,LACNIC,13.0,81.0,BR,23.0,South America,Cable/DSL/ISP,Selective,4.0,0.0,1.0,,,
262354,-0.46,0.04,-0.0,-0.07,0.08,LACNIC,6.0,42.0,BR,18.0,Regional,Cable/DSL/ISP,Open,6.0,0.0,1.0,,,
262355,-0.46,0.06,0.09,0.05,-0.05,LACNIC,87.0,477.0,BR,145.0,South America,NSP,Open,14.0,5.0,1.0,,,
131290,-0.03,-0.15,-0.12,0.0,-0.01,APNIC,1.0,4.0,AU,2.0,,,,,,0.0,,,
131291,-0.01,-0.05,-0.03,-0.03,0.01,APNIC,1.0,6.0,NZ,5.0,Regional,Cable/DSL/ISP,Open,2.0,2.0,1.0,,,
131292,-0.03,-0.05,-0.12,-0.12,-0.28,APNIC,1.0,4.0,AU,2.0,Not Disclosed,Not Disclosed,Open,2.0,0.0,1.0,,,
131293,-0.07,0.06,-0.03,0.0,-0.01,APNIC,16.0,147.0,TH,18.0,,,,,,0.0,,,
262357,-0.46,-0.18,-0.03,0.1,-0.19,LACNIC,1.0,3.0,BR,3.0,Not Disclosed,Not Disclosed,Selective,0.0,1.0,1.0,,,
223,-0.13,-0.05,-0.03,0.0,-0.01,ARIN,1.0,10.0,US,3.0,,,,,,0.0,,,
225,-0.13,0.01,-0.12,0.0,-0.01,ARIN,1.0,20.0,US,2.0,,,,,,0.0,,,
