ASN,Location bias,Network size bias,Topology bias,IXP related bias,Network type bias,RIR region,Customer cone (#ASNs),Customer cone (#prefixes),Location (country),#neighbors (total),Scope (PeeringDB),Network type (PeeringDB),Peering policy (PeeringDB),#IXPs (PeeringDB),#facilities (PeeringDB),is_in_peeringDB,is_ris_peer_v4,is_ris_peer_v6,is_routeviews_peer
41749,0.03,-0.05,-0.12,0.0,-0.01,RIPE,1.0,6.0,RO,2.0,,,,,,0.0,,,
41750,0.01,0.05,0.04,0.1,-0.28,RIPE,7.0,29.0,KG,11.0,Not Disclosed,Not Disclosed,Selective,0.0,0.0,1.0,,,
41765,0.05,0.04,0.02,0.0,-0.01,RIPE,4.0,15.0,FR,8.0,,,,,,0.0,,,
41766,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,CH,2.0,,,,,,0.0,,,
41768,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,CH,2.0,,,,,,0.0,,,
399076,-0.13,-0.18,-0.12,0.0,-0.01,ARIN,1.0,2.0,US,2.0,,,,,,0.0,,,
41773,0.04,-0.18,-0.07,0.0,-0.01,RIPE,1.0,1.0,UA,1.0,,,,,,0.0,,,
41774,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,2.0,RU,2.0,,,,,,0.0,,,
41775,0.04,-0.05,-0.12,0.0,-0.01,RIPE,1.0,4.0,RU,2.0,,,,,,0.0,,,
41776,0.05,-0.18,0.04,-0.19,-0.28,RIPE,1.0,1.0,DE,54.0,Not Disclosed,Not Disclosed,Open,1.0,1.0,1.0,,,
41777,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,PL,2.0,,,,,,0.0,,,
399077,-0.13,0.02,0.06,0.05,-0.08,ARIN,1.0,246.0,US,48.0,Not Disclosed,Content,Open,10.0,6.0,1.0,,,
41779,0.05,-0.09,0.0,-0.19,-0.28,RIPE,1.0,1.0,CZ,14.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
41781,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,UA,2.0,,,,,,0.0,,,
41782,0.04,-0.05,-0.12,0.0,-0.01,RIPE,1.0,7.0,BG,2.0,,,,,,0.0,,,
41783,0.04,-0.05,-0.07,0.0,-0.01,RIPE,2.0,6.0,RU,2.0,,,,,,0.0,,,
399078,-0.13,-0.18,-0.12,0.1,-0.04,ARIN,1.0,1.0,US,2.0,Regional,Cable/DSL/ISP,Selective,0.0,1.0,1.0,,,
41788,0.05,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,FR,2.0,,,,,,0.0,,,
41789,0.04,0.04,-0.03,0.0,-0.01,RIPE,3.0,68.0,RU,5.0,,,,,,0.0,,,
41790,0.04,-0.18,0.0,-0.19,-0.28,RIPE,1.0,1.0,PL,6.0,Not Disclosed,Not Disclosed,Open,0.0,0.0,1.0,,,
41791,0.04,-0.18,-0.12,0.0,-0.01,RIPE,1.0,1.0,UA,2.0,,,,,,0.0,,,
41794,0.04,-0.05,-0.09,0.0,-0.01,RIPE,2.0,8.0,RU,4.0,,,,,,0.0,,,
41795,0.05,-0.09,-0.12,0.0,-0.01,RIPE,1.0,2.0,DK,2.0,,,,,,0.0,,,
41796,0.04,-0.09,-0.09,0.0,-0.01,RIPE,1.0,2.0,PL,4.0,,,,,,0.0,,,
